Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,Predicted loading_signal,Detrended_loading_signal
-0.078156313,-0.036472946,0.322244489,0,0.0004702047,31901,0,15,10.941771269,10.941771269,21783.359414,1.4644664945
0.9318637275,0.1503006012,0.6236472946,0,0.0007523478,38546,0,29,12.740911722,23.682682991,21812.008097,1.7671917151
0.1142284569,0.0981963928,0.5819639279,0,0.0001459357,41114,0,6,13.201591253,36.884274244,21841.087024,1.8824154656
0.5350701403,0.1398797595,0.6621242485,0.0000245978,0.0002951739,40654,1,12,13.137640953,50.021915197,21869.413185,1.8589433405
0.5911823647,0.1887775551,0.65250501,0,0.0002902336,41346,0,12,13.4967103,63.518625498,21897.877865,1.8881281672
0.8276553106,0.0188376754,0.1074148297,0,0.0006514272,16886,0,11,6.5671863556,70.085811853,21911.495118,0.7706457231
0.2304609218,0.0653306613,0.5659318637,0,0.0003796123,39514,0,15,12.868971348,82.954783201,21937.737005,1.8011885178
-0.607214429,0.0340681363,-0.261322645,0,0.000440561,13619,0,6,6.1758072376,89.130590439,21950.122477,0.6204521189
0.5110220441,0.1575150301,-0.6749499,0,0.0006945892,14397,0,10,6.0988311768,95.229421616,21962.221196,0.6555347873
0.0701402806,-0.155911824,-0.530661323,0,0.0008034549,9957,0,8,6.1984946728,101.42791629,21974.382834,0.4531185278
-0.254509018,-0.034068136,-0.017635271,0.1058162104,0.0053543939,14941,1581,80,6.5318267345,107.95974302,21987.05144,0.6795363189
0.2985971944,0.1270541082,0.303006012,0,0.0001968375,30482,0,6,10.307271481,118.2670145,22006.735674,1.3851213761
0.0260521042,-0.002805611,-0.537074148,0,0.000672857,14862,0,10,6.2665996552,124.53361416,22018.519604,0.6749772586
-0.0501002,0.2,0.2356713427,0,0.0005593819,28603,0,16,9.6708958149,134.20450997,22036.432537,1.2979868657
0.627254509,-0.075751503,-0.171543086,0,0.0006457381,20132,0,13,7.3729968071,141.57750678,22049.866967,0.9130213815
-0.314629259,-0.050901804,-0.392785571,0.000076858,0.0002305741,13011,1,3,6.1699106693,147.74741745,22060.961479,0.5897748388
0.3947895792,0.1094188377,-0.370340681,0,0.0001853568,16185,0,3,6.506136179,154.25355363,22072.514742,0.7332648857
-0.627254509,-0.079759519,-0.363927856,0,0.0004582111,10912,0,5,6.1696608067,160.42321444,22083.332217,0.4941283269
0.1583166333,0.1511022044,-0.668537074,0,0.0006563115,13713,0,9,6.2200264931,166.64324093,22094.101725,0.6206633866
-0.014028056,0.1775551102,-0.614028056,0,0.0007950275,13836,0,11,6.1631550789,172.80639601,22104.637806,0.6259319932
-0.018036072,0.0412825651,-0.646092184,0,0.0009053871,13254,0,12,6.1357555389,178.94215155,22114.993603,0.5993219007
0.2945891784,0.0853707415,0.2741482966,0,0.0005136766,31148,0,16,10.524154902,189.46630645,22132.446004,1.4073455774
0.3466933868,0.145490982,0.6364729459,0,0.0002405755,41567,0,10,13.776715994,203.24302244,22154.700175,1.8762158672
-0.611222445,0.122244489,-0.117034068,0,0.0009534403,12586,0,12,6.0904352665,209.33345771,22164.324371,0.5678494769
-0.330661323,-0.178356713,-0.052905812,0.0000770001,0.0003850004,12987,1,5,6.2366342545,215.57009196,22174.043646,0.5856847857
-0.410821643,0.0765531062,-0.008016032,0.0192977754,0.0014071295,14924,288,21,6.2410643101,221.81115627,22183.632117,0.6727482642
0.6513026052,0.0116232465,-0.642885772,0,0.0007424824,16162,0,12,6.3754246235,228.1865809,22193.284776,0.728238301
0.6392785571,-0.134268537,0.1843687375,0,0.00039874,25079,0,10,8.9238507748,237.11043167,22206.554432,1.1293512497
0.7154308617,0.1863727455,-0.341482966,0.0000663218,0.0005968961,15078,1,9,6.2578499317,243.3682816,22215.691778,0.6787094523
-0.815631263,-0.049298597,-0.110621242,0,0.0010926206,11898,0,13,6.0880260468,249.45630765,22224.448246,0.5353563728
-0.975951904,-0.108617234,0.2645290581,0.0000713114,0.0004278685,14023,1,6,6.1587324142,255.61504006,22233.173036,0.6307241876
-0.046092184,0.0845691383,0.4761523046,0,0.0005165289,36784,0,19,12.434372663,268.04941273,22250.379408,1.6531852929
-0.635270541,-0.060521042,0.1458917836,0,0.0005621487,16010,0,9,6.4592216015,274.50863433,22259.101713,0.7192563387
0.7074148297,0.1118236473,-0.694188377,0,0.0004598305,15223,0,7,6.2484345436,280.75706887,22267.398969,0.6836451811
0.4428857715,-0.180761523,-0.60761523,0,0.0005115613,9774,0,5,6.1721644402,286.92923331,22275.459382,0.4387788298
-0.194388778,-0.169539078,0.6781563126,0,0.0003993079,37565,0,15,12.527137756,299.45637107,22291.404714,1.6851786813
-0.306613226,0.002004008,0.5563126253,0,0.0005306033,32039,0,17,10.884928465,310.34129953,22304.809101,1.4364166873
-0.01002004,-0.199198397,-0.152304609,0,0.0006070417,14826,0,9,6.2120890617,316.5533886,22312.271248,0.6644774006
-0.551102204,0.1895791583,-0.101002004,0.0000869868,0.0005219207,11496,1,6,6.1436207294,322.69700933,22319.516916,0.5150649113
-0.891783567,-0.17755511,-0.08496994,0.0000847529,0.0005932706,11799,1,7,6.226760149,328.92376947,22326.724429,0.5284698182
0.8597194389,0.0997995992,0.0849699399,0.0000626056,0.0003130282,15973,1,5,6.3964395523,335.32020903,22333.985564,0.7151880686
0.0981963928,-0.03246493,0.4729458918,0,0.00019393,41252,0,8,13.587610245,348.90781927,22348.929838,1.8458154506
-0.446893788,-0.125450902,0.1170340681,0.0000556483,0.000556483,17970,1,10,6.9501633644,355.85798264,22356.321532,0.8037994969
-0.486973948,-0.090180361,-0.056112224,0,0.0003687044,13561,0,5,6.1233079433,361.98129058,22362.692283,0.6064117785
