Ex,Ey,Ez,mesh_voltage,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.006921841,-0.004647223,-0.059302795,80,0.03437943542028071,0.0015770383220312253,12682,436,20,6.456628799438477
-0.110494658,0.0480022778,-0.045701158,80,0.03055793991416309,0.002832618025751073,11650,356,33,6.670715570449829
-0.022479852,0.073414644,0.0049464554,80,0.12846441947565543,0.004213483146067416,10680,1372,45,6.706399917602539
-0.021892064,-0.056098091,0.0525660806,80,0.11632124352331606,0.007858376511226253,11580,1347,91,6.767285108566284
-0.184698987,0.004345143,0.0214221979,80,0.059172098535511725,0.0023702700414797257,11813,699,28,6.673252820968628
-0.061681064,0.1995188103,-0.058189469,80,0.02515208235844642,0.0014038371548900327,8548,215,12,6.582653760910034
-0.104725034,-0.091916909,0.0588090911,80,0.07350787257414866,0.002471622116440864,10924,803,27,6.676204442977905
-0.293236544,-0.036209379,-0.008512466,80,0.016928079571537875,0.0007651109410864575,10456,177,8,6.620017051696777
0.0223292983,-0.023574394,0.0428497957,80,0.12399628095680838,0.00659284929422703,11831,1467,78,6.62406063079834
-0.282061501,0.1483303484,0.0056106755,80,0.006051437216338881,0.0009725524097687487,9254,56,9,6.649227619171143
-0.093689123,-0.003336641,0.0030439009,80,0.10454319350024871,0.001989719781130824,12062,1261,24,6.702851057052612
0.0401634496,0.1296047961,0.0785860294,80,0.02254351754970037,0.0033292114524873964,10513,237,35,6.608765125274658
-0.145362649,-0.029680717,-0.002398996,80,0.07760470105400616,0.001958772502565059,10721,832,21,6.680120944976807
0.035624599,0.0982404253,-0.073868022,80,0.038394245723172626,0.002624416796267496,10288,395,27,6.657131195068359
-0.112839948,0.0946326106,0.0518539436,80,0.08133237968734035,0.0019413507714314908,9787,796,19,6.675594806671143
-0.261702007,0.0761665961,-0.013353009,80,0.020361342127903644,0.0009559315553006405,10461,213,10,6.526437759399414
-0.132899123,0.0400754034,0.0108863928,80,0.1285806392189371,0.0013815971262779773,10857,1396,15,6.746828079223633
-0.170279473,0.1910530696,0.0474766643,80,0.011931220025734005,0.0010527547081530004,8549,102,9,6.603623628616333
-0.345834664,-0.095819458,-0.055307869,80,0.0010428616122640526,0.0009385754510376473,9589,10,9,6.528195858001709
-0.331161605,0.0655700436,-0.036244881,80,0.016102530397633912,0.0005477051155657794,9129,147,5,6.647354364395142
-0.085426715,-0.079905204,-0.025868226,80,0.07343709691289019,0.0019778140854759653,11629,854,23,6.7056801319122314
-0.026183611,0.1382883425,-0.048782963,80,0.032904148783977114,0.002656856734109953,9786,322,26,6.627483129501343
-0.046220644,0.0448666901,-0.055173986,80,0.03586265366680797,0.0034760491733785504,11795,423,41,6.686884880065918
0.0494560202,-0.030347568,-0.040082651,80,0.06903662157703729,0.0073408116133289346,12124,837,89,6.701677560806274
0.0115587961,-0.093499695,0.0312173771,80,0.09457682826622843,0.012325390304026294,12170,1151,150,6.696020841598511
-0.112298775,0.1597291899,-0.02924587,80,0.027665460736326877,0.0005320280910832092,9398,260,5,6.643834590911865
-0.118710182,0.1291925055,0.0211136955,80,0.054854157596865474,0.00065302568567697,9188,504,6,6.688939094543457
-0.306560549,0.1259538226,-0.01735696,80,0.011296145335972983,0.001630371491789915,8587,97,14,6.4816734790802
-0.014832557,-0.050415287,-0.051348283,80,0.049401806787661755,0.0045576625701961426,12287,607,56,6.724650144577026
-0.28547138,0.0912722976,-0.019773628,80,0.018259935553168637,0.0006444683136412459,9310,170,6,6.606516599655151
-0.121499831,-0.010473258,0.0337165902,80,0.0898995240613432,0.003789881896703684,11346,1020,43,6.647977590560913
-0.210350874,-0.076471743,0.0534614204,80,0.007911543227528357,0.0008578781812982557,10491,83,9,6.629077672958374
-0.327151515,0.118529423,-0.077317456,80,0.011922503725782414,0.0006774149844194553,7381,88,5,6.61470365524292
-0.00102527,0.0987283446,0.0458586909,80,0.08520003912745769,0.004695294923212364,10223,871,48,6.714125394821167
-0.017476723,0.1686915112,-0.03951196,80,0.023936170212765957,0.0026595744680851063,9024,216,24,6.636790990829468
-0.329755701,0.008476435,0.0246708205,80,0.011656056666367794,0.0010759436922801041,11153,130,12,6.659704208374023
-0.259906682,0.1366390192,0.0285213316,80,0.0055574458432573436,0.00124758988318022,8817,49,11,6.568694829940796
-0.221714763,0.1400532381,-0.072796506,80,0.016120292603630453,0.000677323218639935,7382,119,5,6.63145899772644
-0.024642328,-0.007643457,-0.027584867,80,0.08268156424581005,0.002750322303394929,11635,962,32,6.7049596309661865
-0.004030137,0.0074373537,0.0687518268,80,0.08293472144063027,0.009918401800787844,14216,1179,141,6.8092381954193115
-0.294882533,0.0565554354,0.0636949523,80,0.003000750187546887,0.0009377344336084021,10664,32,10,6.636897802352905
-0.334338136,0.1788520344,-0.067467076,80,0.002183088342308252,0.0008732353369233009,6871,15,6,6.655706405639648
-0.124034122,0.051870983,0.0565221931,80,0.06558726673984633,0.00402488108305891,10932,717,44,6.606557607650757
-0.154958976,-0.011627157,-0.034362982,80,0.026716888577435177,0.0019271198318149966,11416,305,22,6.620109796524048
-0.150368839,0.0240620411,-0.070769972,80,0.025422970190672276,0.0016113150120848625,11171,284,18,6.707924842834473
-0.142713908,-0.01872145,0.0782888674,80,0.028068928761769408,0.0023982945461005507,11258,316,27,6.598465442657471
