Ex,Ey,Ez,U2,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.319208259,0.0747819428,0.0791809422,-0.18,0.02196521427290658,0.0008965393580778196,11154,245,10,6.732399940490723
-0.25351053,0.0136944488,0.0176169489,-0.18,0.11163533977627274,0.0020546381553915227,13141,1467,27,6.833683729171753
-0.262092714,0.0110483481,-0.066820237,-0.3,0.0671120246659815,0.00020554984583761563,9730,653,2,6.841800689697266
-0.257059097,-0.086441569,-0.050002049,-0.3,0.0,0.00010793308148947653,9265,0,1,6.597386598587036
-0.222328659,0.0561505226,0.0396849164,-0.1,0.009030704394942806,0.002073717305505385,14949,135,31,7.023333787918091
-0.071937792,0.1927602984,-0.038112176,-0.18,0.027604898614735997,0.00451716522786589,9962,275,45,6.749821186065674
-0.316583147,0.194580712,0.0128432809,-0.1,0.02528342630915962,0.00125967248515386,11114,281,14,6.884428977966309
-0.153555377,0.0187231852,-0.078142021,-0.1,0.013712910986367281,0.002165196471531676,12470,171,27,6.942883729934692
-0.32639398,-0.040990788,-0.009294104,-0.3,0.0,0.0005197505197505198,9620,0,5,6.861755132675171
0.020731027,0.0870100131,-0.018781607,-0.13,0.09641239986067572,0.009892023685127134,14355,1384,142,7.5327348709106445
-0.331357801,-0.049282258,-0.052047472,-0.13,0.01849139509337239,0.0009154155986818016,10924,202,10,6.757622718811035
-0.076103968,-0.043075611,-0.056028758,-0.3,0.0005337128624799857,0.000889521437466643,11242,6,10,6.781175851821899
-0.219774796,0.1202263025,0.0366921662,-0.3,0.01871911820600532,0.0005701254275940707,10524,197,6,6.7509660720825195
-0.055563834,0.043359269,0.0710950161,-0.13,0.08903448275862069,0.009517241379310344,14500,1291,138,6.88130784034729
-0.074397066,0.0863997471,0.0450324652,-0.13,0.13951325375910711,0.009378390947139978,12902,1800,121,6.872070789337158
-0.164161364,-0.087422101,0.0628913644,-0.24,0.05163820573576273,0.001470708391208432,12239,632,18,6.795791864395142
0.0351460666,0.1767660825,0.0486518047,-0.13,0.022201153511890653,0.0034763372047088566,12657,281,44,6.619435787200928
-0.141766095,0.0972405403,-0.072596149,-0.18,0.12318003235498036,0.01086202911948232,12981,1599,141,6.8230321407318115
-0.284229551,0.0573066661,-0.014659172,-0.24,0.11076923076923077,0.0005305039787798408,9425,1044,5,6.724624872207642
-0.276642778,-0.082638653,-0.078952059,-0.3,0.0,0.0004923076923076923,8125,0,4,6.64291524887085
-0.198653659,0.1699218458,-0.066834851,-0.13,0.026688734871211338,0.001448225923244026,9667,258,14,6.677669525146484
-0.204088686,0.0397644492,-0.060994405,-0.24,0.1421022834497075,0.003396867333459143,10598,1506,36,6.834585666656494
-0.249873553,0.0467543042,0.0751285134,-0.13,0.013935969868173258,0.0021092278719397365,13275,185,28,6.709651708602905
-0.118573936,0.1285300295,0.0485181623,-0.1,0.07919147168766441,0.012529419908625225,14446,1144,181,6.852270603179932
-0.349822335,0.0438458893,0.0539473672,-0.18,0.02424051629151582,0.00047221784983472373,12706,308,6,6.711848258972168
-0.277479184,-0.073888124,0.0190887477,-0.24,0.012344566588574519,0.0005406379527842854,11098,137,6,6.617832660675049
-0.004342686,0.0927856542,0.003653162,-0.3,0.0,0.0006505122784192552,12298,0,8,6.702652931213379
-0.091998304,0.106950531,0.0550178387,-0.3,0.02174929840972872,0.004911131898971001,12828,279,63,6.701943635940552
-0.270732899,-0.010634707,-0.009167714,-0.24,0.1110996811027672,0.0010287007509515481,9721,1080,10,6.681660890579224
-0.188678406,0.1170698077,-0.000599498,-0.3,0.04149078554514568,0.000926593225573973,9713,403,9,6.743434906005859
-0.081727393,0.023362098,0.053786881,-0.18,0.09399788471708091,0.007800105764145955,15128,1422,118,6.920707941055298
-0.307764485,0.1177775454,-0.020005299,-0.18,0.10502192108409725,0.0005978477481068154,10036,1054,6,6.67492938041687
-0.006218179,0.1791147264,-0.049290074,-0.24,0.0,0.0008032935033637916,9959,0,8,6.634795427322388
-0.163992223,0.1740989666,0.013708328,-0.24,0.02748942714340638,0.0007689350249903883,10404,286,8,6.748990297317505
-0.140819443,-0.07049811,0.0130499714,-0.3,0.010797568278740587,0.0006351510752200344,11021,119,7,6.5753819942474365
-0.097870862,-0.035481852,0.062202361,-0.3,0.029231928972275736,0.009883574838763716,11939,349,118,6.704308986663818
-0.035055245,0.1602244695,-0.010301983,-0.3,9.081827263645445e-05,0.0006357279084551812,11011,1,7,6.8247270584106445
-0.051252423,-0.041567296,-0.02750441,-0.24,0.05418196654426764,0.009710322317421461,12255,664,119,6.781782865524292
-0.317126219,-0.000290587,0.019629442,-0.18,0.07543763246722662,0.000470994583562289,12739,961,6,6.917205572128296
-0.344444066,-0.053164576,-0.043972294,-0.24,0.004184517286041646,0.0003985254558134901,10037,42,4,6.807247161865234
-0.049031596,-0.016333573,-0.046121911,-0.3,0.0008525149190110827,0.0011935208866155158,11730,10,14,6.8137266635894775
-0.294840444,0.0249312712,0.0231816797,-0.18,0.08963647024333041,0.0005130460275579009,13644,1223,7,6.794493913650513
-0.06867357,0.116735126,-0.064482449,-0.1,0.01892744479495268,0.0028391167192429023,12680,240,36,6.757885694503784
-0.276697871,0.0146229459,-0.016377164,-0.13,0.022913719943422915,0.001768033946251768,14140,324,25,6.867732524871826
-0.059361434,0.0997609795,-0.065776687,-0.3,0.0008614913372259979,0.001052933856609553,10447,9,11,6.8406455516815186
-0.039210956,-0.021718293,0.0599794905,-0.18,0.07293828299131504,0.009760971485665975,13011,949,127,6.759561538696289
-0.206734432,0.0538078112,0.0468351126,-0.18,0.150786308973173,0.003447985871667648,11891,1793,41,6.837298631668091
-0.089036118,0.0953770862,-0.019411732,-0.24,0.10182552059444087,0.01495275662783231,10901,1110,163,6.575181007385254
-0.321566259,0.1111401293,0.0474122663,-0.3,0.00010017028949213663,0.0004006811579685465,9983,1,4,6.865426540374756
0.0496064288,0.1058163868,0.0328331505,-0.24,0.0005435204596630173,0.0017082071589409116,12879,7,22,6.902880430221558
-0.303572133,-0.059198536,-0.040212272,-0.24,0.010119181470654375,0.00022487069934787497,8894,90,2,6.672585487365723
0.0348329689,-0.029722149,-0.01467478,-0.13,0.06733874143498464,0.008190911238875324,12697,855,104,6.736797332763672
-0.188059839,0.1977845993,-0.00902846,-0.24,0.00957638575935106,0.0009013068949977468,8876,85,8,6.696801424026489
0.0093210101,-0.005267052,0.002583847,-0.18,0.0711648204095334,0.01166498825109097,11916,848,139,6.885521650314331
-0.131678675,0.0897070745,0.0799775297,-0.1,0.04396033419223862,0.007183571484344499,12807,563,92,6.9643402099609375
-0.061864651,0.1617379275,-0.02317479,-0.13,0.07391523713420788,0.004624957954927683,11892,879,55,6.919392108917236
-0.349453888,0.0832228353,0.0379041247,-0.13,0.0052048354600402955,0.000671591672263264,11912,62,8,6.723248481750488
-0.055806986,0.0621853525,-0.07677467,-0.1,0.016852067076207868,0.0017433172837456417,12046,203,21,6.650253772735596
-0.223662552,0.1389691412,0.0149161088,-0.3,0.0023386839587541193,0.00031891144892101626,9407,22,3,6.870718717575073
-0.065512669,0.0470440634,0.0527140621,-0.3,0.030182684670373314,0.009213661636219221,12590,380,116,6.937709093093872
-0.132045966,0.0201909594,0.0149684846,-0.24,0.10661083823174168,0.008374265238747082,12419,1324,104,6.79049277305603
-0.218591714,0.1042705524,-0.014297202,-0.18,0.17297636477724326,0.0010458063166701526,9562,1654,10,6.8308820724487305
-0.056504463,0.0134381554,-0.001667343,-0.1,0.04844762879563289,0.0019106107130672126,14655,710,28,6.792222499847412
-0.054882954,0.1029815782,0.0368829495,-0.24,0.06742647644855344,0.011556547381844265,12547,846,145,6.776298761367798
-0.04262189,-0.004096737,0.0727650492,-0.1,0.05743720961551411,0.004713487307252037,14851,853,70,6.808418273925781
