RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6,262,0.07071448743292855,0.011296243998870376,17705,1252,200,8.093915462493896
1,179,0.034220922477040686,0.004925350161613052,19491,667,96,8.045814752578735
4,228,0.06902908643998361,0.009934453092994674,19528,1348,194,8.13144040107727
1,172,0.03207796162826109,0.005126383108313877,19702,632,101,8.010913372039795
1,25,0.030273341824238267,0.005731360830802391,20414,618,117,8.019827365875244
0,228,0.007887323943661971,0.0034827144686299617,19525,154,68,7.972705364227295
2,11,0.057011924706809894,0.008031930619887651,20294,1157,163,8.069568395614624
4,236,0.06772135748915539,0.009390150548609338,19595,1327,184,8.05831503868103
0,230,0.005876690815137545,0.0031409899184355844,19739,116,62,7.93593430519104
1,259,0.0350930115635998,0.006033182503770739,19890,698,120,8.087056875228882
4,115,0.058444175735590485,0.009925433293027005,19848,1160,197,8.012491464614868
3,251,0.06530756778632132,0.009257385673816268,19768,1291,183,8.094478130340576
1,211,0.03510422339951478,0.004852205773134624,20197,709,98,8.020349264144897
0,94,0.0017640239907262738,0.0034776472960032258,19841,35,69,7.986499071121216
4,106,0.06030049410103862,0.01013411313905415,19834,1196,201,8.075487613677979
2,45,0.04572773715316037,0.006911749974957427,19966,913,138,8.043115377426147
3,36,0.05851249563525714,0.007233002444255999,20047,1173,145,8.099623203277588
0,220,0.006250620101200516,0.0034229586268479015,20158,126,69,8.016967535018921
3,98,0.04372152901564666,0.007971875618934442,20196,883,161,8.033549070358276
4,202,0.0675661966115451,0.009181292482499746,19714,1332,181,8.064514875411987
3,75,0.05240631065545215,0.009008112277907728,20093,1053,181,8.029791593551636
4,244,0.0617345914475005,0.00938566552901024,19924,1230,187,8.123936414718628
6,201,0.06823529411764706,0.011241830065359478,19125,1305,215,8.042676448822021
0,153,0.004668440339340395,0.0029115004266854075,19921,93,58,7.96125602722168
4,288,0.07135570743649904,0.00994593491788228,19606,1399,195,8.02704644203186
4,60,0.0493406207691922,0.007722007722007722,19943,984,154,8.050506830215454
2,46,0.04278419513162461,0.006742352882851618,20171,863,136,8.003290176391602
1,101,0.027843601895734597,0.004640600315955766,20256,564,94,8.014850616455078
2,100,0.044519526980025835,0.005068071151744013,20126,896,102,8.036276578903198
4,103,0.054257686084142394,0.010163834951456311,19776,1073,201,8.000070333480835
3,211,0.06091219729609271,0.008270192641014213,20193,1230,167,8.077823877334595
0,258,0.004309049002906103,0.0029061028159134182,19958,86,58,8.033774852752686
0,66,0.0028406259344164256,0.0024917771354530053,20066,57,50,7.966956853866577
6,85,0.05893644617380026,0.019559014267185475,19275,1136,377,8.021210432052612
4,126,0.03925093632958802,0.009837702871410737,20025,786,197,8.029138088226318
2,55,0.0352689010132502,0.0053098207326578335,20528,724,109,8.039548397064209
1,180,0.028718153263199882,0.005035648402054145,20057,576,101,8.058021545410156
3,220,0.06031321240955496,0.009217960154623847,20178,1217,186,8.024048089981079
6,160,0.06554656710226094,0.011304708566687409,19284,1264,218,8.07593560218811
2,162,0.04694301543332014,0.007518796992481203,20216,949,152,8.012789964675903
3,119,0.050261519302615194,0.007422166874221669,20075,1009,149,8.07082986831665
1,81,0.022688485091858248,0.0043168356590703744,19922,452,86,7.958343982696533
4,268,0.06823385742634712,0.009922149290184704,19653,1341,195,8.049610137939453
4,291,0.06296574143535884,0.008952238059514879,19995,1259,179,8.015432834625244
0,292,0.003920780134713984,0.00326731677892832,19894,78,65,8.000747203826904
2,101,0.045958246759671514,0.005887009003660829,20214,929,119,7.967212677001953
4,83,0.05768161366968303,0.01036348010717355,19781,1141,205,8.073084592819214
4,140,0.05747244824389741,0.008033783087856627,19418,1116,156,8.009598970413208
6,48,0.06173428798727128,0.01039512065765049,18855,1164,196,8.123803853988647
0,267,0.0043254796193577935,0.0033077197089206654,19651,85,65,7.950273752212524
0,108,0.0023033219020320416,0.0030710958693760558,19537,45,60,8.00020170211792
1,76,0.0017382666997765085,0.0033772038738515025,20135,35,68,7.9983086585998535
6,72,0.04922415600754875,0.01724680226462571,19076,939,329,8.036586284637451
