tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-10,80,58,90,0.10501687634243632,0.0046026388462718625,13036,1369,60,5.031252861022949,12.231
-15,80,33,90,0.10092932785822348,0.003962250558317124,13881,1401,55,5.086506128311157,12.23
-5,250,55,260,0.07252975996877642,0.013595264424640603,15373,1115,209,6.637811183929443,12.23
-10,250,60,260,0.07309766327142002,0.013847280474003063,15021,1098,208,6.634533882141113,12.229
-10,80,23,90,0.0975609756097561,0.006490952006294256,15252,1488,99,5.337159872055054,12.226
-15,600,71,610,0.018350930115636,0.028092006033182505,15912,292,447,10.083369016647339,12.226
-5,80,72,90,0.060169658709804695,0.03090681922798711,15207,915,470,5.372724533081055,12.23
-10,80,52,90,0.10777373891971176,0.003379886486831197,15681,1690,53,5.55995512008667,12.229
-10,80,69,90,0.0817387954282779,0.013162963914216001,15574,1273,205,5.49582839012146,12.229
-5,250,30,260,0.03211271181062385,0.020562289775972582,15757,506,324,6.634085416793823,12.229
-5,80,25,90,0.0843611584327087,0.014378194207836457,14675,1238,211,5.239577770233154,12.23
-10,80,71,90,0.07692819591402143,0.017169095627869835,15027,1156,258,5.295397043228149,12.231
-5,80,49,90,0.09838835456199636,0.0063685989082401875,15388,1514,98,5.477631330490112,12.229
-15,80,75,90,0.09820104455477464,0.00851118705267909,15509,1523,132,5.541399240493774,12.231
-15,250,33,260,0.07137143911893189,0.009413646711376362,16253,1160,153,6.623330354690552,12.231
-10,250,71,260,0.036894886715364617,0.029899715240807232,16154,596,483,6.5868706703186035,12.23
-10,250,22,260,0.06607767347690043,0.012393398367998036,16299,1077,202,6.621770858764648,12.231
-10,250,72,260,0.0341726618705036,0.03429670057057802,16124,551,553,6.6496360301971436,12.23
-5,600,71,610,0.001564474396774776,0.04663337144232505,16619,26,775,10.027299404144287,12.242
-10,600,42,610,0.04127940516633549,0.015575924620216652,15601,644,243,10.06337308883667,12.257
-5,250,73,260,0.03007659256491687,0.04053801606575752,16059,483,651,6.574600458145142,12.255
-10,600,51,610,0.034446309768078096,0.016725735248398932,16083,554,269,10.1186363697052,12.251
-10,600,27,610,0.019917493876498646,0.021400025783163593,15514,309,332,10.079663753509521,12.254
-5,250,63,260,0.05805422647527911,0.015502392344497608,15675,910,243,6.652448892593384,12.258
-15,80,52,90,0.1096108022239873,0.003905215779719354,15108,1656,59,5.4017438888549805,12.254
-15,600,19,610,0.049752217005738134,0.015062597809076683,15336,763,231,10.175301313400269,12.257
-10,80,68,90,0.07925424202220516,0.010404301375602262,14321,1135,149,5.123889207839966,12.253
-15,250,65,260,0.06845821890937623,0.016542434941807245,15294,1047,253,6.6117870807647705,12.255
-15,600,70,610,0.02021854347968331,0.029182752077471702,15283,309,446,10.095824480056763,12.257
-10,600,72,610,0.006817580090018534,0.04209690230341541,15108,103,636,10.018815755844116,12.254
-5,80,52,90,0.1003571919219673,0.00597609561752988,14558,1461,87,5.1929755210876465,12.251
-10,600,44,610,0.038534140467356634,0.01835578988478813,15363,592,282,10.078274488449097,12.259
-15,600,43,610,0.045433564127926145,0.015562149686778767,15165,689,236,10.129218101501465,12.258
-10,250,58,260,0.07461678708893241,0.013842933351340401,14809,1105,205,6.583527326583862,12.258
-5,250,48,260,0.06777763140561191,0.012646555131076275,15182,1029,192,6.609298229217529,12.255
-10,250,43,260,0.07397959183673469,0.007777501244400199,16072,1189,125,6.613477945327759,12.254
-10,80,55,90,0.10244841484689887,0.004331348132106118,16623,1703,72,5.997958421707153,12.254
-5,600,75,610,0.018262078974420996,0.04529237467497128,16537,302,749,10.031913995742798,12.254
-10,600,68,610,0.021171312245537113,0.02668336987159411,15965,338,426,10.097898244857788,12.254
-5,80,67,90,0.07825040128410915,0.018459069020866775,14952,1170,276,5.39259934425354,12.257
-10,80,75,90,0.09531586855686941,0.01345789508068204,15307,1459,206,5.528849840164185,12.255
-5,250,61,260,0.061118828134865515,0.015658542745296124,15838,968,248,6.675639390945435,12.254
-5,250,17,260,0.07221200786153553,0.00893932669752108,15773,1139,141,6.558321714401245,12.257
-10,250,57,260,0.07973905883843183,0.010260307809234277,15789,1259,162,6.712303161621094,12.253
-15,250,38,260,0.08303653871520908,0.008837884184144572,15162,1259,134,6.708720445632935,12.258
-15,600,52,610,0.048070634401569654,0.015761935905820798,15290,735,241,10.147883892059326,12.254
-10,600,55,610,0.03950038042099924,0.018323611463352776,15772,623,289,10.138134717941284,12.249
-10,80,43,90,0.10373678912934071,0.0036487166582788123,15896,1649,58,5.680017471313477,12.253
-5,600,58,610,0.026166027465050104,0.02684646789558332,16166,423,434,10.087475776672363,12.253
-5,600,36,610,0.04027011957127811,0.017471036490923735,16141,650,282,10.097075939178467,12.254
-5,600,51,610,0.029275711298396807,0.02078448767505228,15781,462,328,10.09036660194397,12.253
-5,600,69,610,0.01042713567839196,0.03969849246231156,15920,166,632,10.124745845794678,12.254
-15,600,25,610,0.0291015625,0.020377604166666667,15360,447,313,10.097559928894043,12.255
-15,250,55,260,0.07649710238248551,0.008821635544108178,15530,1188,137,6.623821258544922,12.254
-15,250,62,260,0.07026992776580915,0.00982131542263338,15782,1109,155,6.641291856765747,12.254
-15,250,25,260,0.06706996317727512,0.010783798001052078,15208,1020,164,6.724969387054443,12.253
-10,600,57,610,0.041885812052468156,0.020340916291743234,15781,661,321,10.147404193878174,12.251
-15,600,22,610,0.040653544320082335,0.0192975685063682,15546,632,300,10.0654137134552,12.251
-15,600,69,610,0.022468974526453297,0.023383409536250815,15310,344,358,10.11592698097229,12.251
-5,80,77,90,0.08908180300500834,0.01609348914858097,14975,1334,241,5.489948511123657,12.251
-5,250,32,260,0.054552590266875985,0.01838042909471481,15288,834,281,6.676130533218384,12.251
-10,600,19,610,0.04507801964939318,0.01797983689719386,15573,702,280,10.157997369766235,12.251
-5,600,76,610,0.02016574585635359,0.04150552486187845,14480,292,601,10.080830812454224,12.25
-5,80,64,90,0.09044979299698266,0.013192056697775595,14251,1289,188,5.2238452434539795,12.255
-15,250,45,260,0.08013463654605477,0.008155867693701857,15449,1238,126,6.636189937591553,12.254
-5,250,16,260,0.07696759259259259,0.007458847736625514,15552,1197,116,6.61330509185791,12.251
-5,80,58,90,0.09936887337182758,0.007452665502887069,14894,1480,111,5.4515700340271,12.257
-15,250,46,260,0.08299500831946756,0.00805324459234609,15025,1247,121,6.657501220703125,12.253
-5,600,15,610,0.04118275263649713,0.016619943932719265,14982,617,249,10.14089822769165,12.254
-10,600,63,610,0.03184922511163646,0.023246650906225373,15228,485,354,10.101930379867554,12.25
-10,600,61,610,0.03144443701077139,0.02047233558573627,14947,470,306,10.05211091041565,12.25
-10,80,65,90,0.08871175109282592,0.01214965286706094,15556,1380,189,5.691850662231445,12.253
-5,80,61,90,0.09315504616364215,0.008468640560331104,15705,1463,133,5.721662759780884,12.255
-15,80,51,90,0.11279127416955875,0.003284581060981656,16136,1820,53,5.917148113250732,12.254
-10,250,48,260,0.07434580582049401,0.008192712154561018,16356,1216,134,6.71793007850647,12.253
-5,80,79,90,0.09763529985372989,0.010543637250121892,16408,1602,173,5.9329588413238525,12.255
-15,250,71,260,0.05080614923134608,0.0193100862392201,16002,813,309,6.635202884674072,12.254
-15,250,53,260,0.08431649140805335,0.009297255706591434,15596,1315,145,6.650575399398804,12.255
-5,250,74,260,0.04308447072142902,0.029561607648279767,15899,685,470,6.694754600524902,12.254
-5,250,50,260,0.06214654910307084,0.015688659166920037,16445,1022,258,6.685413599014282,12.253
-10,250,41,260,0.07444536718471942,0.008482619527820619,16858,1255,143,6.697282314300537,12.251
-5,250,24,260,0.05535823637477036,0.020820575627679118,16330,904,340,6.644808053970337,12.255
-15,600,74,610,0.024728362682652678,0.027351067815661295,16014,396,438,10.101263999938965,12.255
-15,250,44,260,0.07931609159928399,0.008271094376890315,16201,1285,134,6.649096727371216,12.255
-10,80,57,90,0.10470574076302804,0.004633529907329402,16618,1740,77,5.877787828445435,12.253
