RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
6,198,0.09763017356475301,0.002336448598130841,11984,1170,28,5.018177270889282,12.822
1,149,0.10240791170990397,0.002006593091586642,13954,1429,28,5.057911157608032,10.84
2,192,0.11668514412416851,0.0017322616407982262,14432,1684,25,5.170895099639893,11.342
6,180,0.09292096219931271,0.003092783505154639,14550,1352,45,5.137526988983154,12.818
0,39,0.039551790835723334,0.0010671646768491963,14993,593,16,5.032248020172119,10.164
3,107,0.11591740721380031,0.0015028750653423941,15304,1774,23,5.344111680984497,11.802
6,197,0.09786381842456608,0.003671562082777036,14980,1466,55,5.281292915344238,12.815
6,146,0.09144837699126841,0.0024661734319802705,15003,1372,37,5.196988582611084,12.782
1,76,0.08348042099758123,0.0020265411518598417,15297,1277,31,5.284698486328125,10.825
0,188,0.05106048703849175,0.001440167583136947,15276,780,22,5.112088680267334,10.184
3,35,0.11758537064953792,0.001966310545978895,15257,1794,30,5.3194169998168945,11.809
3,25,0.10311322625421376,0.003767598651596272,15129,1560,57,5.283782720565796,11.798
6,105,0.08676411425506236,0.008247284430736222,14914,1294,123,5.191365718841553,12.816
2,25,0.10079917504511472,0.0026424336169115752,15516,1564,41,5.399024724960327,11.328
6,110,0.0938637717614351,0.003640696365923082,15107,1418,55,5.256754636764526,12.814
4,120,0.11332332397676088,0.0022847444350153406,15319,1736,35,5.351943254470825,12.142
3,190,0.11765837394203642,0.002436522185175686,15596,1835,38,5.473976135253906,11.792
3,92,0.1111111111111111,0.0028038601982263954,15336,1704,43,5.259511709213257,11.793
2,116,0.11119796755911666,0.002279981760145919,15351,1707,35,5.2082531452178955,11.346
4,63,0.09587991057170234,0.011370169274992015,15655,1501,178,5.258815288543701,12.17
3,79,0.10727141828653708,0.0034688134040185875,15279,1639,53,5.108455657958984,11.796
1,73,0.014734774066797643,0.011263916175507531,15270,225,172,5.048689365386963,10.843
0,110,0.04797717842323652,0.0014263485477178422,15424,740,22,5.019939661026001,10.191
1,169,0.09377823673680134,0.002065315606041048,15494,1453,32,5.140992879867554,10.858
1,2,0.10245875329010722,0.0023752969121140144,15577,1596,37,5.255160331726074,10.863
6,144,0.09608968370479114,0.003670092085946884,14986,1440,55,5.0731425285339355,12.84
3,68,0.05310376673923082,0.029751302856388943,15159,805,451,5.084198713302612,11.788
6,140,0.10062035585247801,0.0027268389119912743,14669,1476,40,5.119428396224976,12.82
4,16,0.11957172308306178,0.00272660770100419,15037,1798,41,5.2846338748931885,12.139
4,193,0.12233257280901892,0.0019460475104012885,14902,1823,29,5.269041538238525,12.163
1,185,0.0990736482491295,0.0017081663491229223,15221,1508,26,5.259601354598999,10.836
4,110,0.11681508643268727,0.0025536930330015716,15272,1784,39,5.367073059082031,12.177
