U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-0.14,92,0.13385826771653545,0.0,5715,765,0,4.7848310470581055,12.199
-0.15,88,0.1111111111111111,0.0,6192,688,0,4.777847528457642,12.194
-0.16,175,0.14056033110474372,0.0,6282,883,0,4.786622047424316,12.186
-0.14,118,0.1351432428378581,0.0,6667,901,0,4.819394826889038,12.186
-0.18,107,0.13905372894947876,0.0,6235,867,0,4.810516357421875,12.172
-0.13,58,0.12571756601607348,0.0,6968,876,0,4.815796852111816,12.172
-0.15,6,0.14262536873156342,0.0,6780,967,0,4.870425701141357,12.143
-0.15,176,0.13288940359004053,0.0,6908,918,0,4.839309930801392,12.135
-0.14,47,0.1175356830760268,0.0,6866,807,0,4.877802610397339,12.147
-0.13,199,0.1348409893992933,0.0,7075,954,0,4.735120058059692,12.147
-0.16,123,0.1277468502783475,0.0,6826,872,0,4.865164518356323,12.139
-0.18,4,0.13094333890323562,0.0,6583,862,0,4.872725009918213,12.139
-0.13,130,0.12721483942414175,0.0,7224,919,0,4.813251972198486,12.136
-0.17,19,0.13671696387745771,0.0,6561,897,0,4.812757253646851,12.134
-0.13,193,0.1460950300382305,0.0,7324,1070,0,4.804414510726929,12.132
-0.15,168,0.13745413491391476,0.0,7086,974,0,4.878477573394775,12.13
-0.17,83,0.11194029850746269,0.0,6566,735,0,4.796069145202637,12.127
-0.16,149,0.1335978835978836,0.0,6804,909,0,4.796016454696655,12.125
-0.17,130,0.13459814759486108,0.0,6694,901,0,4.848302364349365,12.127
-0.14,95,0.13204301075268818,0.0,6975,921,0,4.812525272369385,12.119
-0.15,56,0.12541976930938822,0.0,6849,859,0,4.84214973449707,12.123
-0.16,76,0.12193664076509265,0.0,6692,816,0,4.865741014480591,12.121
-0.14,58,0.12033676876179417,0.0,6889,829,0,4.776320219039917,12.119
-0.14,87,0.11127188540008681,0.0,6911,769,0,4.8296239376068115,12.116
-0.13,118,0.12908827785817656,0.0,6910,892,0,4.780281066894531,12.117
-0.14,10,0.14572789520690682,0.0,6718,979,0,4.869524955749512,12.113
-0.17,107,0.14054222499220942,0.0,6418,902,0,4.833495616912842,12.112
-0.13,168,0.12909220872051466,0.0,6995,903,0,4.8640947341918945,12.109
-0.13,2,0.13451986754966888,0.0,7248,975,0,4.827415704727173,12.108
-0.17,16,0.13052147239263803,0.0,6520,851,0,4.736794710159302,12.109
-0.15,164,0.1316931982633864,0.0,6910,910,0,4.866165399551392,12.105
-0.13,47,0.10778859527121001,0.0,7190,775,0,4.778497695922852,12.106
-0.15,13,0.1359433689685062,0.0,6922,941,0,4.840998411178589,12.11
-0.17,118,0.12240601503759399,0.0,6650,814,0,4.7796056270599365,12.1
-0.17,106,0.13922133010149979,0.0,6601,919,0,4.769742965698242,12.106
-0.15,173,0.1359954526076453,0.0,7037,957,0,4.802856683731079,12.105
-0.14,181,0.13480885311871227,0.0,6958,938,0,4.878162622451782,12.101
-0.16,83,0.1219260786334855,0.0,6791,828,0,4.861933708190918,12.101
-0.15,4,0.13850007367025194,0.0,6787,940,0,4.789810657501221,12.103
-0.18,105,0.121996879875195,0.0,6410,782,0,4.7715904712677,12.105
-0.14,146,0.134775136064165,0.0,6982,941,0,4.824221134185791,12.103
-0.16,5,0.1321983715766099,0.0,6755,893,0,4.86040997505188,12.102
-0.16,16,0.138612433290062,0.0,6933,961,0,4.821304082870483,12.105
-0.15,85,0.11938617485569478,0.0,7103,848,0,4.812839031219482,12.105
-0.16,12,0.13360091743119265,0.0,6976,932,0,4.7895894050598145,12.105
-0.14,57,0.12693235002127357,0.0,7051,895,0,4.8003551959991455,12.101
-0.18,45,0.1125997290380852,0.0,6643,748,0,4.785675287246704,12.102
-0.14,138,0.13308528906697195,0.0,6988,930,0,4.867638349533081,12.105
-0.18,22,0.12273921780800742,0.0,6469,794,0,4.779618740081787,12.099
-0.17,34,0.09147545965658714,0.0,6581,602,0,4.877331018447876,12.099
-0.17,95,0.12349626922491244,0.0,6567,811,0,4.878642797470093,12.101
-0.15,36,0.12731785662140457,0.0,6849,872,0,4.795342683792114,12.105
-0.16,140,0.1346181924368521,0.0,6849,922,0,4.8171226978302,12.105
-0.14,25,0.1375810544121793,0.0,7094,976,0,4.84054160118103,12.107
-0.18,93,0.1194920440636475,0.0,6536,781,0,4.841365575790405,12.105
-0.13,110,0.13732918414287648,0.0,7391,1015,0,4.797693967819214,12.102
-0.16,136,0.1330049261083744,0.0,6902,918,0,4.860399961471558,12.103
-0.14,8,0.12970534329620753,0.0,7093,920,0,4.809982061386108,12.109
-0.18,26,0.1185263475766269,0.0,6623,785,0,4.827084302902222,12.109
-0.15,48,0.11504424778761062,0.0,7119,819,0,4.86360502243042,12.105
-0.15,151,0.1313990793695076,0.0,7169,942,0,4.848456859588623,12.106
-0.13,56,0.12391486978437412,0.0,7142,885,0,4.771037578582764,12.107
-0.13,139,0.1256018709588664,0.0,7269,913,0,4.791820287704468,12.101
-0.14,189,0.1341120180129468,0.0,7106,953,0,4.864033222198486,12.098
-0.17,7,0.1334589417490972,0.0,6369,850,0,4.786401271820068,12.093
-0.17,61,0.0712661106899166,0.0,6595,470,0,4.844624280929565,12.098
-0.13,73,0.11337369290038525,0.0,7268,824,0,4.772358655929565,12.093
-0.18,184,0.12028697908716227,0.0,6551,788,0,4.769714117050171,12.098
-0.14,53,0.12388881049809511,0.0,7087,878,0,4.839325189590454,12.101
-0.17,172,0.13672716087357736,0.0,6502,889,0,4.790405750274658,12.095
-0.18,100,0.11112814224402207,0.0,6524,725,0,4.781626462936401,12.099
-0.16,143,0.12999703879182706,0.0,6754,878,0,4.876052141189575,12.094
-0.17,195,0.1263432606693276,0.0,6514,823,0,4.785088062286377,12.093
-0.14,169,0.1270931730356376,0.0,6987,888,0,4.7764832973480225,12.093
-0.13,62,0.10155807365439093,0.0,7060,717,0,4.900661945343018,12.093
-0.16,137,0.13159073935772964,0.0,6695,881,0,4.78651237487793,12.086
-0.18,76,0.10690457719162141,0.0,6445,689,0,4.769875526428223,12.086
-0.13,129,0.11980920314253647,0.0,7128,854,0,4.799331188201904,12.084
-0.17,4,0.13963133640552997,0.0,6510,909,0,4.787524700164795,12.088
-0.18,59,0.06744645298496127,0.0,6583,444,0,4.759097337722778,12.089
-0.14,115,0.13076815837167155,0.0,7173,938,0,4.82303786277771,12.088
-0.16,55,0.11945046999276934,0.0,6915,826,0,4.880667448043823,12.088
-0.18,193,0.12382965871337964,0.0,6622,820,0,4.8520848751068115,12.085
-0.15,15,0.12660789131377367,0.0,6919,876,0,4.776500463485718,12.089
-0.14,107,0.12943311924043563,0.0,7162,927,0,4.887183427810669,12.084
-0.17,109,0.13026052104208416,0.0,6487,845,0,4.836905241012573,12.086
-0.18,165,0.11844927980386148,0.0,6526,773,0,4.852855920791626,12.085
-0.15,103,0.12144738666296964,0.0,7213,876,0,4.794371128082275,12.099
-0.13,70,0.0879182416351673,0.0,7143,628,0,4.80157470703125,12.089
-0.14,141,0.1300368802076219,0.0,7321,952,0,4.858161687850952,12.076
-0.14,61,0.10253199777406789,0.0,7188,737,0,4.778587102890015,12.075
-0.13,33,0.11248624862486249,0.0,7272,818,0,4.788530349731445,12.076
-0.14,165,0.13006662965019433,0.0,7204,937,0,4.804082155227661,12.086
-0.14,73,0.11478357073710413,0.0,7231,830,0,4.835501432418823,12.073
-0.16,138,0.12947015034301562,0.0,6851,887,0,4.875988006591797,12.087
-0.17,198,0.12883617494440325,0.0,6745,869,0,4.861981153488159,12.107
-0.17,35,0.10006082725060828,0.0,6576,658,0,4.8395068645477295,12.103
-0.15,180,0.13042216741621934,0.0,6893,899,0,4.863426923751831,12.103
-0.17,183,0.1317436661698957,0.0,6710,884,0,4.853769779205322,12.105
-0.16,102,0.1024862677074299,0.0,6918,709,0,4.770214080810547,12.086
-0.13,24,0.11660188784008883,0.0,7204,840,0,4.8657310009002686,12.138
-0.17,44,0.1250921964891577,0.0,6779,848,0,4.791635036468506,12.092
-0.14,14,0.12830613393359594,0.0,7108,912,0,4.872281551361084,12.117
-0.18,47,0.11197030621713579,0.0,6466,724,0,4.878819227218628,12.121
-0.15,196,0.12078253473206692,0.0,7054,852,0,4.784334897994995,12.121
-0.13,42,0.11250873515024458,0.0,7155,805,0,4.8458476066589355,12.118
-0.15,142,0.12667531344574146,0.0,6939,879,0,4.875665903091431,12.12
-0.13,200,0.12313683362427823,0.0,7447,917,0,4.892931699752808,12.118
-0.16,99,0.09370836417468542,0.0,6755,633,0,4.859727144241333,12.124
-0.17,96,0.10971833062970063,0.0,6781,744,0,4.8121771812438965,12.117
-0.16,194,0.13215794841905873,0.0,6863,907,0,4.789953947067261,12.126
-0.18,9,0.12225609756097561,0.0,6560,802,0,4.858084440231323,12.117
-0.14,69,0.07534807534807535,0.0,7326,552,0,4.767254114151001,12.118
-0.14,179,0.13296826734063466,0.0,7122,947,0,4.837309837341309,12.126
-0.15,128,0.11549936070464555,0.0,7039,813,0,4.842666149139404,12.118
-0.18,122,0.11558090663464425,0.0,6662,770,0,4.832284450531006,12.114
-0.15,149,0.13486225299293236,0.0,6933,935,0,4.864185810089111,12.118
-0.14,64,0.08557844690966719,0.0,7572,648,0,4.902668714523315,12.108
-0.14,187,0.13184438040345822,0.0,6940,915,0,4.88696813583374,12.12
-0.14,155,0.12596954898017812,0.0,6962,877,0,4.873412609100342,12.117
-0.13,95,0.12074688796680498,0.0,7230,873,0,4.820333003997803,12.101
-0.13,66,0.07870308085564375,0.0,7433,585,0,4.823226690292358,12.12
-0.16,111,0.13018364928909953,0.0,6752,879,0,4.874939680099487,12.122
-0.17,117,0.12384775498067202,0.0,6726,833,0,4.8150107860565186,12.112
-0.13,100,0.10176546576718817,0.0,6967,709,0,4.80184268951416,12.121
-0.15,69,0.0858628442945475,0.0,7116,611,0,4.868352651596069,12.114
-0.18,73,0.10921813203529054,0.0,6574,718,0,4.864782094955444,12.12
-0.13,172,0.1226832641770401,0.0,7230,887,0,4.825863838195801,12.118
-0.18,167,0.12342109267995739,0.0,6571,811,0,4.789167404174805,12.121
-0.14,4,0.1262547716669023,0.0,7073,893,0,4.883466482162476,12.122
-0.15,12,0.12777309744453805,0.0,7122,910,0,4.873316049575806,12.124
-0.17,128,0.11963007159904535,0.0,6704,802,0,4.8719322681427,12.121
-0.13,147,0.1171460485897794,0.0,7162,839,0,4.788039684295654,12.12
-0.14,60,0.11151079136690648,0.0,6950,775,0,4.779939413070679,12.122
-0.15,177,0.12320299022426683,0.0,6956,857,0,4.781717538833618,12.124
-0.17,38,0.09860648288397456,0.0,6602,651,0,4.771182537078857,12.122
-0.18,97,0.10415707930664213,0.0,6519,679,0,4.8582727909088135,12.121
-0.14,32,0.1030784231787157,0.0,7179,740,0,4.899470090866089,12.122
-0.14,51,0.11556129773184037,0.0,6966,805,0,4.779465913772583,12.126
-0.13,80,0.11084774121583937,0.0,7172,795,0,4.791161775588989,12.124
-0.14,134,0.1244199535962877,0.0,6896,858,0,4.831740140914917,12.125
-0.17,33,0.09722437587222825,0.0,6449,627,0,4.752357244491577,12.126
-0.18,154,0.10926799573885253,0.0,6571,718,0,4.847217559814453,12.121
-0.17,5,0.13123479318734793,0.0,6576,863,0,4.876062870025635,12.126
-0.16,160,0.13020833333333334,0.0,6720,875,0,4.898094415664673,12.122
-0.13,54,0.10745306808629869,0.0,7138,767,0,4.894498586654663,12.122
-0.16,92,0.11716621253405994,0.0,6606,774,0,4.810326099395752,12.122
-0.17,154,0.12683878715100572,0.0,6662,845,0,4.784433126449585,12.122
-0.14,68,0.02017456002289312,0.0,6989,141,0,4.778149843215942,12.124
-0.18,65,0.05675422138836773,0.0,6396,363,0,4.761160135269165,12.126
-0.13,4,0.11574328030718596,0.0,7292,844,0,4.872648477554321,12.124
-0.13,174,0.11419497376415355,0.0,7242,827,0,4.85016942024231,12.124
-0.16,191,0.1252371916508539,0.0,6851,858,0,4.896712303161621,12.111
-0.17,66,0.0472972972972973,0.0,6660,315,0,4.744211435317993,12.116
-0.15,106,0.13446567586694974,0.0,7065,950,0,4.800416707992554,12.112
-0.14,180,0.12804463192271057,0.0,7349,941,0,4.798980951309204,12.116
-0.17,75,0.10988388558482017,0.0,7062,776,0,4.772708415985107,12.112
-0.18,155,0.12095598950743223,0.0,6862,830,0,4.874271631240845,12.114
-0.14,176,0.12932871603622803,0.0,7508,971,0,4.848656415939331,12.113
-0.18,188,0.11534041941970698,0.0,6962,803,0,4.83369255065918,12.113
-0.15,26,0.1150190114068441,0.0,7364,847,0,4.863099813461304,12.114
-0.17,69,0.09118852459016394,0.0,6832,623,0,4.777608871459961,12.118
-0.15,33,0.08071135430916553,0.0,7310,590,0,4.87471604347229,12.113
-0.13,180,0.12454686690833765,0.0,7724,962,0,4.868789434432983,12.12
-0.16,31,0.0998127610542993,0.0,6943,693,0,4.821760654449463,12.116
-0.15,172,0.12345169281585466,0.0,7266,897,0,4.805274724960327,12.121
-0.17,9,0.12728613569321534,0.0,6780,863,0,4.897737503051758,12.124
-0.17,10,0.12657104835132338,0.0,6763,856,0,4.785175085067749,12.118
-0.18,18,0.11671554252199413,0.0,6820,796,0,4.86464524269104,12.117
-0.18,168,0.11827794561933534,0.0,6620,783,0,4.798770427703857,12.118
-0.14,175,0.12713418936080148,0.0,7087,901,0,4.904907941818237,12.12
-0.17,60,0.0919679322341552,0.0,6611,608,0,4.805882692337036,12.114
-0.16,41,0.10002903600464576,0.0,6888,689,0,4.780680179595947,12.12
-0.17,166,0.13043478260869565,0.0,6624,864,0,4.780830383300781,12.118
-0.14,19,0.12701408041805778,0.0,6889,875,0,4.816099166870117,12.118
-0.16,22,0.11899672224597406,0.0,7017,835,0,4.838366270065308,12.118
-0.17,84,0.11914958702967268,0.0,6538,779,0,4.800887107849121,12.114
-0.18,49,0.10953409441530391,0.0,6482,710,0,4.7208051681518555,12.118
-0.17,91,0.11670203091846014,0.0,6598,770,0,4.809040069580078,12.118
-0.14,6,0.13110916008194323,0.0,6834,896,0,4.795553922653198,12.116
-0.16,21,0.12560024009603843,0.0,6664,837,0,4.878774881362915,12.121
-0.15,63,0.08138701819744949,0.0,6979,568,0,4.729433298110962,12.118
-0.15,94,0.12521343198634036,0.0,7028,880,0,4.845538854598999,12.114
-0.16,125,0.12749244712990937,0.0,6620,844,0,4.799872636795044,12.114
-0.16,36,0.11676165424521409,0.0,6843,799,0,4.8891942501068115,12.111
-0.16,146,0.12541588311876176,0.0,6913,867,0,4.834600210189819,12.111
-0.13,138,0.12233744394618834,0.0,7136,873,0,4.849463224411011,12.118
-0.18,156,0.12675840978593272,0.0,6540,829,0,4.792120933532715,12.114
-0.13,144,0.11867651080120317,0.0,7314,868,0,4.869323968887329,12.111
-0.14,117,0.12563996125639962,0.0,7227,908,0,4.826838254928589,12.112
-0.18,161,0.11772706664651655,0.0,6617,779,0,4.761496067047119,12.113
-0.17,98,0.1035103510351035,0.0,6666,690,0,4.789283037185669,12.117
-0.16,77,0.10913523590993833,0.0,6973,761,0,4.779214859008789,12.116
-0.18,120,0.1043026706231454,0.0,6740,703,0,4.801023960113525,12.113
-0.15,7,0.12403318801856279,0.0,7111,882,0,4.848604679107666,12.114
-0.15,145,0.12268770402611534,0.0,7352,902,0,4.891178607940674,12.114
-0.13,37,0.11737276845190514,0.0,7506,881,0,4.84522271156311,12.109
-0.15,189,0.12850336322869954,0.0,7136,917,0,4.818540334701538,12.112
-0.17,94,0.11624463201540056,0.0,6753,785,0,4.788625955581665,12.113
-0.17,18,0.12741935483870967,0.0,6820,869,0,4.885406970977783,12.114
-0.17,148,0.12180889861415026,0.0,6855,835,0,4.803034782409668,12.112
-0.18,106,0.11493582263710618,0.0,6856,788,0,4.85022234916687,12.114
-0.14,56,0.11728060671722644,0.0,7384,866,0,4.805163621902466,12.114
-0.13,77,0.10212483399734396,0.0,7530,769,0,4.825717926025391,12.118
-0.18,41,0.09958567623557266,0.0,6758,673,0,4.789471387863159,12.112
-0.18,144,0.12145183806421592,0.0,6447,783,0,4.865455865859985,12.113
-0.16,165,0.12591845555395476,0.0,6941,874,0,4.783404111862183,12.111
-0.15,100,0.07133648474430597,0.0,6981,498,0,4.764258861541748,12.116
-0.13,87,0.10216508795669824,0.0,7390,755,0,4.822546005249023,12.116
-0.15,53,0.1229145871952089,0.0,7013,862,0,4.850926160812378,12.107
-0.17,120,0.11399498599026692,0.0,6781,773,0,4.902165651321411,12.106
-0.14,65,0.06582809224318659,0.0,7155,471,0,4.801720142364502,12.106
-0.15,77,0.11286681715575621,0.0,7088,800,0,4.8923845291137695,12.111
-0.13,152,0.12130137903333779,0.0,7469,906,0,4.856874942779541,12.105
-0.17,136,0.123990860624524,0.0,6565,814,0,4.790825128555298,12.109
-0.17,62,0.06441902468392535,0.0,6644,428,0,4.83590841293335,12.109
-0.18,198,0.1184190677326897,0.0,6629,785,0,4.88158392906189,12.105
-0.13,44,0.11045364891518737,0.0,7098,784,0,4.789045333862305,12.11
-0.14,109,0.12510542592071972,0.0,7114,890,0,4.897629261016846,12.107
-0.17,6,0.1224887556221889,0.0,6670,817,0,4.896967172622681,12.109
-0.16,151,0.13027221058929106,0.0,6686,871,0,4.828409671783447,12.109
-0.18,185,0.12317130722038698,0.0,6357,783,0,4.873053312301636,12.106
-0.17,174,0.12286636936798401,0.0,6503,799,0,4.879716634750366,12.113
-0.14,45,0.10583524027459955,0.0,6992,740,0,4.875069856643677,12.106
-0.16,129,0.11337966985230234,0.0,6906,783,0,4.872535943984985,12.11
-0.13,114,0.11382113821138211,0.0,7257,826,0,4.8563690185546875,12.11
-0.17,2,0.11354858643596477,0.0,6473,735,0,4.795840263366699,12.115
-0.16,169,0.12272591708917388,0.0,6706,823,0,4.81026291847229,12.109
-0.16,178,0.12458219386204801,0.0,6582,820,0,4.907003402709961,12.109
-0.18,135,0.11462631820265932,0.0,6543,750,0,4.916264533996582,12.114
-0.14,37,0.12201476335214936,0.0,6909,843,0,4.8676979541778564,12.111
-0.15,118,0.12993495689003176,0.0,6611,859,0,4.863003969192505,12.11
-0.14,136,0.1211157681745917,0.0,6919,838,0,4.8583152294158936,12.109
-0.16,135,0.12110091743119267,0.0,6540,792,0,4.874122619628906,12.109
-0.13,71,0.08350877192982456,0.0,7125,595,0,4.771703243255615,12.111
-0.17,92,0.11438661139259941,0.0,6513,745,0,4.764173984527588,12.107
-0.16,80,0.10511321037636827,0.0,6669,701,0,4.884457111358643,12.111
-0.13,46,0.09657052661787918,0.0,6969,673,0,4.851440191268921,12.111
-0.17,97,0.11071107110711072,0.0,6666,738,0,4.831206321716309,12.11
-0.15,200,0.12569060773480664,0.0,6516,819,0,4.824120044708252,12.11
-0.15,83,0.10624529721595184,0.0,6645,706,0,4.8333680629730225,12.114
-0.13,81,0.10597057159026599,0.0,7068,749,0,4.848579406738281,12.109
-0.13,122,0.1098982150759699,0.0,6779,745,0,4.7889244556427,12.11
-0.18,56,0.1045284856354488,0.0,6161,644,0,4.793513298034668,12.111
-0.14,186,0.12520111159865438,0.0,6837,856,0,4.851229906082153,12.106
-0.15,22,0.12041805513480763,0.0,6602,795,0,4.846130847930908,12.106
-0.15,27,0.11396614268440144,0.0,6616,754,0,4.78802490234375,12.111
-0.15,43,0.10908819579167288,0.0,6701,731,0,4.811178922653198,12.107
-0.18,27,0.11305191654536632,0.0,6183,699,0,4.82585597038269,12.11
-0.14,147,0.1197805547089302,0.0,6562,786,0,4.906229734420776,12.11
-0.17,28,0.12054925754430784,0.0,6263,755,0,4.871537446975708,12.111
-0.16,128,0.11685674113419778,0.0,6401,748,0,4.887306451797485,12.106
-0.16,104,0.11940298507462686,0.0,6499,776,0,4.832794666290283,12.106
-0.17,158,0.1189873417721519,0.0,6320,752,0,4.857409715652466,12.11
-0.16,4,0.12484793187347931,0.0,6576,821,0,4.82277250289917,12.107
-0.13,17,0.11653589072943912,0.0,6882,802,0,4.918085098266602,12.107
-0.18,95,0.1111111111111111,0.0,6039,671,0,4.790494203567505,12.109
-0.14,29,0.103125,0.0,6720,693,0,4.865579128265381,12.106
-0.13,157,0.11403508771929824,0.0,6840,780,0,4.8814568519592285,12.11
-0.16,106,0.12030534351145038,0.0,6550,788,0,4.878310441970825,12.113
