U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
-0.16,105,0.11027270320360075,0.019195128408790046,7554,833,145,5.324426174163818,12.009
-0.14,43,0.18526246430924664,0.0037338018888644848,9106,1687,34,5.392381429672241,12.007
-0.18,46,0.1863905325443787,0.0038351961428884506,9126,1701,35,5.3250157833099365,12.007
-0.18,63,0.17330634853003835,0.004047720494247976,9388,1627,38,5.437577724456787,12.009
-0.14,57,0.17319109461966606,0.005380333951762523,10780,1867,58,5.34250020980835,12.006
-0.18,33,0.1437125748502994,0.005888223552894212,10020,1440,59,5.430370092391968,12.01
-0.14,16,0.1804545872825987,0.0027606515137572466,10867,1961,30,5.45005464553833,12.007
-0.14,58,0.16626462967926384,0.007057982667738765,11193,1861,79,5.356008768081665,12.006
-0.18,9,0.20043942874263457,0.00209727354439229,10013,2007,21,5.384401798248291,12.006
-0.16,5,0.2043118075656253,0.002195827926938816,10019,2047,22,5.378209114074707,12.006
-0.14,83,0.15320719889247808,0.013751730502999538,10835,1660,149,5.461850166320801,12.003
-0.18,115,0.1805168986083499,0.002385685884691849,10060,1816,24,5.429725408554077,12.009
-0.16,91,0.1989403179046286,0.0024992502249325203,10003,1990,25,5.297523021697998,12.006
-0.18,100,0.1878447497743456,0.0025072710861498344,9971,1873,25,5.384711027145386,12.007
-0.14,120,0.17361297839921125,0.0030474141794389173,11157,1937,34,5.312525272369385,12.006
-0.16,7,0.2039070852366605,0.0029157352512391875,10289,2098,30,5.38251256942749,12.006
-0.16,84,0.15341240521096636,0.011763562123274354,10286,1578,121,5.354848384857178,12.006
-0.18,61,0.180623973727422,0.0035738433304356226,10353,1870,37,5.3537209033966064,12.006
-0.16,20,0.20529475445330184,0.00354295837023915,10161,2086,36,5.402612686157227,12.002
-0.18,117,0.17539706027424287,0.00404458912893361,10137,1778,41,5.389427661895752,12.002
-0.16,21,0.20871604455735782,0.003126832128200117,10234,2136,32,5.375982046127319,12.011
-0.16,103,0.14260407440212577,0.02027359511859069,10161,1449,206,5.339946031570435,12.001
-0.18,85,0.13413054309915295,0.008769307424015944,10035,1346,88,5.345943212509155,12.001
-0.14,34,0.170197486535009,0.005026929982046679,11140,1896,56,5.44028115272522,12.003
-0.18,58,0.1856256988919386,0.002643082240520484,9837,1826,26,5.329437255859375,12.003
-0.16,101,0.1775213246362268,0.010737581535373809,9965,1769,107,5.4536309242248535,12.003
-0.16,28,0.186159169550173,0.00662382600098863,10115,1883,67,5.397837162017822,12.002
-0.18,86,0.14242053789731052,0.010696821515892421,9816,1398,105,5.302081346511841,12.001
-0.14,26,0.15543478260869564,0.006340579710144928,11040,1716,70,5.399538993835449,12.007
-0.14,74,0.13245693563009972,0.020489573889392567,11030,1461,226,5.386377811431885,12.007
-0.18,28,0.18530701754385964,0.0026913875598086126,10032,1859,27,5.335474491119385,12.007
-0.14,10,0.17640788772428495,0.0024871202700302007,11258,1986,28,5.428098678588867,12.009
-0.18,108,0.1816557474687314,0.004069882866785785,10074,1830,41,5.444316387176514,12.007
