RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
3,105,0.18892754500075631,0.0016638935108153079,6611,1249,11,5.191871404647827,11.7
2,43,0.16294820717131475,0.0015936254980079682,7530,1227,12,5.101854562759399,11.253
4,46,0.2103821572975088,0.0018260075648884831,7667,1613,14,5.2417685985565186,12.061
4,63,0.18093434343434345,0.0026515151515151517,7920,1433,21,5.15949559211731,12.053
2,57,0.10980662983425414,0.002992633517495396,8688,954,26,5.09288763999939,11.238
4,33,0.16676803308599927,0.005473786643960588,8221,1371,45,5.189270257949829,12.057
2,16,0.16310679611650486,0.0010279840091376355,8755,1428,9,5.093619108200073,11.231
2,58,0.08915073365940418,0.0026678523788350376,8996,802,24,5.151688575744629,11.242
4,9,0.2133095662507427,0.00142602495543672,8415,1795,12,5.254792213439941,12.049
3,5,0.19161882893226176,0.0013777267508610792,8710,1669,12,5.2008678913116455,11.675
2,83,0.15687789799072643,0.0014351954073746965,9058,1421,13,5.157181739807129,11.235
4,115,0.1917057009025477,0.00125671198446247,8753,1678,11,5.225212335586548,12.049
3,91,0.18287538479078783,0.0013681450233724774,8771,1604,12,5.194026947021484,11.671
4,100,0.19425971298564929,0.002333450005833625,8571,1665,20,5.1361565589904785,12.039
2,120,0.15875972389613235,0.0013147803221211789,9127,1449,12,5.095644950866699,11.222
3,7,0.18995098039215685,0.0011140819964349377,8976,1705,10,5.255880355834961,11.673
3,84,0.16745389113810166,0.0032613585245164192,8892,1489,29,5.1611433029174805,11.665
4,61,0.18822857142857144,0.002514285714285714,8750,1647,22,5.1449902057647705,12.035
3,20,0.18492239467849225,0.0012195121951219512,9020,1668,11,5.190872430801392,11.661
4,117,0.1904815481548155,0.0020252025202520253,8888,1693,18,5.2655723094940186,12.029
3,21,0.18413503971756398,0.0014342453662842013,9064,1669,13,5.207475423812866,11.661
3,103,0.18274509803921568,0.0020168067226890756,8925,1631,18,5.1368913650512695,11.657
4,85,0.16024340770791076,0.004620238900157764,8874,1422,41,5.347070693969727,12.025
2,34,0.12828590049967412,0.002932869867477732,9206,1181,27,5.1372528076171875,11.209
4,58,0.1972123027301002,0.0023038820412394885,8681,1712,20,5.14766263961792,12.025
3,101,0.10594285714285714,0.008685714285714286,8750,927,76,5.106082916259766,11.653
3,28,0.18399909471540116,0.0013579268982686432,8837,1626,12,5.179542779922485,11.65
4,86,0.13190954773869346,0.005025125628140704,8756,1155,44,5.222510099411011,12.019
2,26,0.14920774647887325,0.0011003521126760564,9088,1356,10,5.1287760734558105,11.2
2,74,0.1492880613362541,0.0017524644030668128,9130,1363,16,5.191607236862183,11.209
4,28,0.1949375787424121,0.0025197571870347038,8731,1702,22,5.1941680908203125,12.019
2,10,0.16525096525096525,0.0013237727523441808,9065,1498,12,5.16652250289917,11.198
4,108,0.18989487962021023,0.002373685995252628,8847,1680,21,5.240005254745483,12.019
3,29,0.18313334080968935,0.002467197487944376,8917,1633,22,5.121332883834839,11.64
2,114,0.11667026094457623,0.0019409100711667026,9274,1082,18,5.127647399902344,11.198
2,40,0.15403659849300322,0.000968783638320775,9290,1431,9,5.181950330734253,11.209
2,23,0.15390455531453362,0.0015184381778741865,9220,1419,14,5.092261791229248,11.209
4,112,0.20060613125072851,0.0018650192330108403,8579,1721,16,5.185973882675171,12.015
2,95,0.11409614966282358,0.0014139656297585382,9194,1049,13,5.179894924163818,11.196
2,91,0.15050993022007514,0.001610305958132045,9315,1402,15,5.140766620635986,11.208
3,61,0.14454814477577965,0.0023901661734577737,8786,1270,21,5.179831266403198,11.647
2,31,0.15198237885462554,0.0014317180616740088,9080,1380,13,5.1832969188690186,11.2
4,66,0.14779553439873058,0.004193584948430239,8823,1304,37,5.303661346435547,12.014
2,109,0.1600268576544315,0.0016786034019695612,8936,1430,15,5.201059341430664,11.195
3,38,0.17199683580065545,0.002599163747316081,8849,1522,23,5.167581558227539,11.64
3,113,0.16655156537753224,0.001841620626151013,8688,1447,16,5.36505913734436,11.647
2,56,0.1346067415730337,0.001910112359550562,8900,1198,17,5.166010618209839,11.196
2,6,0.15769272946595023,0.0014255949117227766,9119,1438,13,5.214000463485718,11.205
2,46,0.14841141626278945,0.0010770059235325794,9285,1378,10,5.383914947509766,11.205
4,103,0.15170349907918967,0.0108195211786372,8688,1318,94,5.2288384437561035,12.011
4,47,0.19200756680066208,0.0011823126034523528,8458,1624,10,5.205856084823608,11.999
3,118,0.16325401217487548,0.002545655783065855,9035,1475,23,5.248266696929932,11.631
3,90,0.17701332725822988,0.0018225310399817747,8779,1554,16,5.164583683013916,11.64
2,79,0.08677868671235905,0.0035374751271280125,9046,785,32,5.132585763931274,11.193
4,94,0.1950997150997151,0.0014814814814814814,8775,1712,13,5.260969400405884,12.006
4,44,0.20255368543238536,0.0027858386535113177,8615,1745,24,5.160401344299316,11.998
2,4,0.16149342759306307,0.0007732243455208218,9053,1462,7,5.179234743118286,11.191
2,117,0.14221874650876998,0.001564071053513574,8951,1273,14,5.099781274795532,11.195
2,77,0.12190812720848057,0.002871024734982332,9056,1104,26,5.104614019393921,11.197
4,45,0.19495759265713955,0.001742767514813524,8607,1678,15,5.1734397411346436,12.008
