no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6000,12.175,0.2012461059190031,0.010280373831775701,3210,646,33,3.205218553543091
1500,12.167,0.181651376146789,0.009174311926605505,545,99,5,1.076418161392212
2000,12.164,0.18452935694315004,0.008387698042870456,1073,198,9,1.3949227333068848
8000,12.167,0.21551724137931033,0.012661637931034482,3712,800,47,4.067760944366455
4000,12.163,0.1979448350459708,0.011357490535424553,1849,366,21,2.199970006942749
22000,12.163,0.20848310567936737,0.010167402690767177,9737,2030,99,10.453753471374512
3000,12.16,0.19889502762430938,0.009668508287292817,1448,288,14,1.7157001495361328
60000,12.159,0.1950685134984589,0.009580749377993985,26929,5253,258,28.049036026000977
40000,12.152,0.1976316210593695,0.011575185362991411,18747,3705,217,18.812357902526855
2000,12.153,0.20759962928637626,0.010194624652455977,1079,224,11,1.2857861518859863
22000,12.156,0.195177304964539,0.00955082742316785,10575,2064,101,10.480429649353027
15000,12.159,0.20076346670436873,0.011452000565530892,7073,1420,81,7.243673324584961
60000,12.156,0.20157452138128468,0.010234388978350332,27945,5633,286,27.994308710098267
22000,12.152,0.1966024050391296,0.0101164344340523,10478,2060,106,10.463875770568848
1000,12.152,0.19569471624266144,0.009784735812133072,511,100,5,0.7762045860290527
8000,12.151,0.19179461364208406,0.012836647369745784,3973,762,51,4.073662281036377
10000,12.149,0.2023338195457387,0.009793707022296311,4799,971,47,4.97684907913208
12000,12.152,0.18445254207877843,0.010758285615131008,5763,1063,62,5.877641916275024
2000,12.153,0.2294557097118463,0.010672358591248666,937,215,10,1.2295589447021484
15000,12.153,0.19851788513609805,0.009263217899387203,7017,1393,65,7.328005313873291
30000,12.145,0.20520951302378257,0.009588523971309928,13245,2718,127,14.121959209442139
3000,12.151,0.17891816920943135,0.009708737864077669,1442,258,14,1.741227626800537
22000,12.147,0.20432619071798516,0.01117091499949223,9847,2012,110,10.482486486434937
2000,12.149,0.1854990583804143,0.007532956685499058,1062,197,8,1.3720736503601074
12000,12.153,0.20902612826603326,0.013657957244655582,5052,1056,69,5.859775066375732
15000,12.149,0.20327067094604923,0.011156961638392174,6543,1330,73,7.223598957061768
15000,12.151,0.1960342496620099,0.008412197686645636,6657,1305,56,7.1914143562316895
12000,12.151,0.198522447433226,0.008903201363894678,5279,1048,47,5.9158265590667725
12000,12.153,0.2094149554436265,0.011817125145292522,5162,1081,61,5.885946750640869
1500,12.152,0.1864754098360656,0.006147540983606557,488,91,3,1.0273997783660889
60000,12.152,0.1968599954271778,0.009945888270711073,26242,5166,261,27.939685821533203
10000,12.148,0.20493609519612163,0.009695901278096077,4538,930,44,4.968771696090698
40000,12.144,0.19698666965385908,0.010977932116052426,17854,3517,196,18.740212202072144
4000,12.149,0.18141592920353983,0.012782694198623401,2034,369,26,2.131417989730835
12000,12.147,0.20877998979070955,0.009188361408882083,5877,1227,54,5.8724045753479
3000,12.148,0.20092226613965744,0.009881422924901186,1518,305,15,1.7558577060699463
1500,12.148,0.18700787401574803,0.007874015748031496,508,95,4,1.0516858100891113
8000,12.152,0.20654599553682124,0.009670220679394992,4033,833,39,4.019012928009033
1000,12.149,0.2389558232931727,0.01606425702811245,498,119,8,0.835580587387085
8000,12.145,0.20091673032849502,0.012477718360071301,3927,789,49,4.0538225173950195
15000,12.145,0.19994442128664722,0.0094483812699736,7197,1439,68,7.27784276008606
30000,12.144,0.19298245614035087,0.010251967366977114,13851,2673,142,14.142382860183716
22000,12.153,0.1984156921916258,0.00961901169370049,10604,2104,102,10.484966039657593
10000,12.149,0.1956521739130435,0.01024247491638796,4784,936,49,4.9558446407318115
60000,12.149,0.19907948568088837,0.010885447106954996,27376,5450,298,28.070066690444946
10000,12.145,0.18634186966479283,0.009369144284821987,4803,895,45,5.023141384124756
1500,12.147,0.19723865877712032,0.013806706114398421,507,100,7,1.0464847087860107
