no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,loading_signal baseline,trapped_signal baseline,lost_signal baseline,ratio_signal baseline,ratio_lost baseline,trapped_signal detrended,lost_signal detrended,ratio_signal detrended,ratio_lost detrended
6000,12.226,0.2210787793,0.0060326473,2818,623,17,3.1923503876,3.1923503876,3098.3370175,637.81878933,26.810579097,0.2063152758,0.0086150799,0.9767664585,0.6340780607,1.0715579758,0.700242754
1500,12.226,0.1851851852,0.012345679,486,90,6,1.0548386574,4.247189045,547.90592553,111.78753067,4.8189500689,0.2042632649,0.0088807264,0.8050987392,1.2450844923,0.9066005345,1.3901654569
2000,12.221,0.2073684211,0.0094736842,950,197,9,1.2501163483,5.4973053932,1089.1789565,223.99864802,10.561010264,0.206723278,0.009643841,0.8794695939,0.852191199,1.003120805,0.9823559144
8000,12.222,0.2038583357,0.0066225166,3473,708,23,4.040191412,9.5374968052,4070.1175953,813.96488913,36.231036909,0.2000881951,0.0088517623,0.8698163882,0.6348148428,1.0188423943,0.7481579757
4000,12.221,0.2263834544,0.0027948575,1789,405,5,2.1793560982,11.716852903,2073.8868329,424.84001986,19.621008825,0.2056775484,0.0093677956,0.9533000214,0.2548288951,1.1006716885,0.2983474012
22000,12.217,0.2150248344,0.0068294702,9664,2078,66,10.427840471,22.144693375,10674.131275,2191.6479244,94.854221803,0.2056428538,0.008835525,0.9481449903,0.6958045593,1.0456226925,0.7729557868
3000,12.214,0.2149122807,0.0087719298,1368,294,12,1.6907916069,23.835484982,1604.6896502,313.78398064,15.230528507,0.1954185754,0.0094679825,0.9369503166,0.7878912406,1.0997535946,0.9264835261
60000,12.21,0.2104266459,0.0078719691,26931,5667,212,28.022085667,51.857570648,28702.962736,5830.3786601,256.31139896,0.2032380991,0.0088526027,0.9719780361,0.8271188908,1.0353700746,0.8892265248
40000,12.197,0.2111562187,0.0078557495,18967,4005,149,18.822015047,70.679585695,19522.095189,3998.6195151,178.2346323,0.2049872604,0.0090664662,1.0015956719,0.8359767015,1.0300943498,0.8664621111
2000,12.197,0.2202436739,0.0056232427,1067,235,6,1.2029902935,71.882575989,1086.7886875,223.32186403,10.538204383,0.20650793,0.0096451021,1.0522928466,0.5693569589,1.0665143653,0.5830153652
22000,12.192,0.2080281277,0.0082039262,10239,2130,84,10.397282362,82.279858351,10651.93735,2186.0656751,94.907824578,0.2055300527,0.0088630164,0.9743531607,0.8850692804,1.0121543053,0.9256358959
15000,12.197,0.2183728525,0.0106488712,7043,1538,75,7.2992455959,89.579103947,7370.7501293,1526.3007591,67.32557378,0.2072707446,0.0091002003,1.0076650954,1.1139897633,1.0535633137,1.1701798755
60000,12.191,0.2077003952,0.0081209441,27583,5729,224,27.982385874,117.56148982,28634.829036,5814.5549359,256.65049265,0.2031581068,0.0088919584,0.9852860732,0.8727822717,1.0223583907,0.9132908261
22000,12.186,0.215060181,0.0086541331,10053,2162,87,10.491455555,128.05294538,10635.043998,2181.8166341,94.948625404,0.205444192,0.0088839421,0.9909173696,0.9162849871,1.0468058453,0.9741320927
1000,12.184,0.1932270916,0.0079681275,502,97,4,0.8134098053,128.86635518,546.69257084,105.32978038,4.5746958593,0.1923727183,0.0083889197,0.920917139,0.8743750673,1.0044412397,0.949839519
8000,12.183,0.2019089574,0.0070974058,4086,825,29,4.1267585754,132.99311376,4051.153572,810.17238062,36.329940841,0.2000896263,0.0089291187,1.018301808,0.7982396703,1.0090925808,0.7948607255
10000,12.187,0.2067676977,0.0112102969,4817,996,54,4.9167673588,137.90988111,5021.6220316,1013.0879542,45.68956896,0.2019216851,0.0090340066,0.9831328029,1.1818890226,1.023999466,1.2408997863
12000,12.18,0.2103815744,0.0089377793,5818,1224,52,5.8193161488,143.72919726,5924.7396837,1206.5404679,54.615598925,0.2038082314,0.0091858638,1.0144707389,0.95210894,1.0322525886,0.9729927992
2000,12.18,0.1931922723,0.0119595216,1087,210,13,1.231413126,144.96061039,1084.1574388,222.5768487,10.513099281,0.2062708712,0.0096464904,0.9434943536,1.2365525762,0.9365950278,1.2397795564
15000,12.18,0.2167161761,0.0081015393,7406,1605,60,7.2749984264,152.23560882,7352.0233249,1521.2909228,67.331729744,0.2070914749,0.009128629,1.055025029,0.8911103313,1.0464756029,0.8874869695
30000,12.183,0.2200802083,0.0085133329,14213,3128,121,14.172101974,166.40771079,14676.539221,2998.3619832,132.02204106,0.2044670983,0.0089373814,1.0432362795,0.9165136293,1.0763600115,0.9525533795
3000,12.18,0.195954488,0.0088495575,1582,310,14,1.7103142738,168.11802506,1596.2348441,312.25419798,15.19584871,0.1955294778,0.0095011753,0.9927808882,0.9213042501,1.0021736375,0.9314171446
22000,12.18,0.2079414838,0.0077894937,10527,2189,82,10.517385721,178.63541079,10616.375663,2177.1211464,94.993713174,0.2053493098,0.0089070664,1.0054562208,0.8632150198,1.0126232417,0.8745296539
2000,12.179,0.2163461538,0.0076923077,1040,225,8,1.3330950737,179.96850586,1082.896944,222.21995051,10.501072729,0.2061573086,0.0096471555,1.0125103506,0.7618269301,1.0494226731,0.7973653686
12000,12.182,0.2069665201,0.0081163341,5914,1224,48,5.8837704659,185.85227633,5916.0743118,1204.3656388,54.657610576,0.2037298302,0.0092097126,1.0163026581,0.8781942623,1.0158871674,0.8812798497
15000,12.179,0.2126957955,0.0076944215,7278,1548,56,7.2081744671,193.06045079,7339.8215777,1518.0266843,67.33574076,0.2069746689,0.0091471522,1.0197449202,0.8316534335,1.0276416754,0.8411821925
15000,12.175,0.2116747741,0.0097289785,7195,1523,70,7.2432527542,200.30370355,7337.6567111,1517.4475344,67.336452406,0.2069539449,0.0091504386,1.0036590824,1.0395558052,1.0228110136,1.0632253648
12000,12.175,0.2112409763,0.0111722241,5818,1229,65,5.8803861141,206.18408966,5911.8917418,1203.3159003,54.677888606,0.2036919878,0.0092212238,1.0213444364,1.1887803581,1.0370608021,1.2115771533
12000,12.179,0.2025004402,0.0079239303,5679,1150,45,5.8577628136,212.04185247,5910.686709,1203.013462,54.683730874,0.2036810851,0.0092245403,0.9559327774,0.822913859,0.9942034632,0.8590054341
1500,12.174,0.2379110251,0.0096711799,517,123,5,1.02744174,213.06929421,543.85125948,110.63083279,4.8018959421,0.2035786354,0.008914577,1.111805786,1.0412553834,1.1686443654,1.0848725508
60000,12.177,0.2032974859,0.0087600598,28082,5709,246,28.050835848,241.12013006,28506.701104,5784.7978399,257.28817082,0.2030076784,0.0089659684,0.9868970633,0.9561263513,1.0014275694,0.9770344314
10000,12.174,0.2028634805,0.0082677959,4959,1006,41,4.9091179371,246.029248,5000.4938266,1008.3956749,45.764913765,0.2018214169,0.0090977028,0.997624271,0.89588282,1.0051632956,0.9087784134
40000,12.171,0.2073512616,0.0074758592,19262,3994,144,18.797360182,264.82660818,19364.538185,3959.6080466,178.42370452,0.2045822815,0.0091676807,1.0086856964,0.8070676505,1.0135347991,0.8154580706
4000,12.174,0.1952975048,0.0134357006,2084,407,28,2.2256059647,267.05221415,2058.4783914,420.61265114,19.646192195,0.205052341,0.0094671816,0.9676361348,1.4252125665,0.9524275792,1.419186951
12000,12.173,0.2089423904,0.007394669,5815,1215,43,5.8930003643,272.94521451,5898.157941,1199.8690004,54.744473129,0.2035677293,0.009259022,1.0126105429,0.7854674188,1.0264023235,0.7986447149
3000,12.17,0.1974522293,0.0082802548,1570,310,13,1.7504558563,274.69567037,1589.9895055,311.12418852,15.170231673,0.1956113984,0.0095256938,0.9963866888,0.8569414285,1.0094106525,0.8692547672
1500,12.174,0.1992818671,0.012567325,557,111,7,1.0642545223,275.75992489,542.63400535,110.2835797,4.7967761107,0.2033731022,0.0089247393,1.0064961647,1.4593134719,0.9798831062,1.4081447654
8000,12.173,0.1957749939,0.006877917,4071,797,28,4.0140082836,279.77393317,4028.6065633,805.66333096,36.44753128,0.200091328,0.0090210905,0.9892469588,0.7682276142,0.9784281798,0.7624263326
1000,12.175,0.1988527725,0.0133843212,523,104,7,0.8378994465,280.61183262,543.61790093,104.80436882,4.5850046409,0.1925598682,0.0084596814,0.992325045,1.5267160119,1.0326802481,1.5821306445
