tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
96,0.20076511094108646,0.005355776587605203,6535,1312,35,7.822778701782227,12.161
16,0.19190195470058952,0.0032578343158547935,6446,1237,21,7.813752174377441,12.163
31,0.1738929889298893,0.01583640836408364,6504,1131,103,7.7302539348602295,12.161
159,0.1945073185453448,0.0051305266334691416,6627,1289,34,7.802541017532349,12.161
129,0.20485091920284257,0.006797466398887687,6473,1326,44,7.8646697998046875,12.164
116,0.16743755781683625,0.016805427073697195,6486,1086,109,7.796899795532227,12.161
70,0.1693410188502882,0.023835488393830814,6419,1087,153,7.754159927368164,12.157
171,0.19915320683707072,0.004547592912027599,6377,1270,29,7.752971410751343,12.162
175,0.2051014319809069,0.0037291169451073984,6704,1375,25,8.039225339889526,12.163
46,0.19075500770416023,0.005701078582434515,6490,1238,37,7.7289628982543945,12.162
67,0.17066789781471223,0.01662049861495845,6498,1109,108,7.857708215713501,12.161
183,0.20479974055456462,0.005351062104751094,6167,1263,33,7.7273876667022705,12.158
166,0.20323289391086002,0.006277463904582548,6372,1295,40,7.977471351623535,12.164
79,0.17829710737048537,0.025821212616440596,6119,1091,158,7.793403148651123,12.159
187,0.20732279768424347,0.005007041151619465,6391,1325,32,7.873342514038086,12.163
178,0.20018694500701043,0.004050475151892818,6419,1285,26,7.764053106307983,12.157
57,0.1982412835544585,0.0064794816414686825,6482,1285,42,7.961400747299194,12.162
153,0.18875379939209727,0.005319148936170213,6580,1242,35,7.813470840454102,12.158
83,0.16679524764696807,0.025304736923314305,6481,1081,164,7.712026596069336,12.163
69,0.17289938976685965,0.02347050539821624,6391,1105,150,7.811992645263672,12.157
125,0.19783715012722647,0.00556615776081425,6288,1244,35,7.749882459640503,12.161
17,0.20351390922401172,0.003741662599642102,6147,1251,23,7.722017049789429,12.163
149,0.2029567732604853,0.006909850554394986,6223,1263,43,7.75482439994812,12.157
94,0.19817729908864953,0.007456503728251864,6035,1196,45,7.836564064025879,12.159
66,0.1891490765171504,0.016160949868073878,6064,1147,98,7.772204160690308,12.162
61,0.20165208940719145,0.012471655328798186,6174,1245,77,7.92728066444397,12.159
85,0.1769304403318443,0.018985322271857053,6268,1109,119,7.7707679271698,12.154
68,0.17767166145233,0.023217520171249794,6073,1079,141,7.788985013961792,12.153
126,0.20344262295081966,0.009836065573770493,6100,1241,60,7.722904682159424,12.154
133,0.21306298820009972,0.006315439587834469,6017,1282,38,7.7781901359558105,12.155
10,0.20434083601286174,0.004662379421221865,6220,1271,29,7.819778919219971,12.153
19,0.20021830656479028,0.002650865429596133,6413,1284,17,7.771022319793701,12.149
