no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6000,12.226,0.22107877927608233,0.00603264726756565,2818,623,17,3.192350387573242
1500,12.226,0.18518518518518517,0.012345679012345678,486,90,6,1.0548386573791504
2000,12.221,0.2073684210526316,0.009473684210526316,950,197,9,1.2501163482666016
8000,12.222,0.20385833573279585,0.006622516556291391,3473,708,23,4.040191411972046
4000,12.221,0.22638345444382338,0.002794857462269424,1789,405,5,2.179356098175049
22000,12.217,0.2150248344370861,0.006829470198675497,9664,2078,66,10.4278404712677
3000,12.214,0.2149122807017544,0.008771929824561403,1368,294,12,1.6907916069030762
60000,12.21,0.210426645872786,0.007871969106234451,26931,5667,212,28.022085666656494
40000,12.197,0.21115621869562926,0.007855749459587705,18967,4005,149,18.822015047073364
2000,12.197,0.22024367385192128,0.005623242736644799,1067,235,6,1.2029902935028076
22000,12.192,0.20802812774685028,0.008203926164664518,10239,2130,84,10.397282361984253
15000,12.197,0.21837285247763738,0.010648871219650717,7043,1538,75,7.299245595932007
60000,12.191,0.20770039517093863,0.008120944059746945,27583,5729,224,27.982385873794556
22000,12.186,0.21506018104048544,0.008654133094598627,10053,2162,87,10.491455554962158
1000,12.184,0.19322709163346613,0.00796812749003984,502,97,4,0.8134098052978516
8000,12.183,0.20190895741556533,0.007097405775819873,4086,825,29,4.126758575439453
10000,12.187,0.20676769773718082,0.011210296865268839,4817,996,54,4.916767358779907
12000,12.18,0.21038157442420075,0.0089377793056033,5818,1224,52,5.819316148757935
2000,12.18,0.19319227230910763,0.011959521619135235,1087,210,13,1.2314131259918213
15000,12.18,0.21671617607345395,0.008101539292465569,7406,1605,60,7.274998426437378
30000,12.183,0.22008020826004362,0.008513332864279181,14213,3128,121,14.172101974487305
3000,12.18,0.1959544879898862,0.008849557522123894,1582,310,14,1.7103142738342285
22000,12.18,0.20794148380355276,0.007789493682910611,10527,2189,82,10.517385721206665
2000,12.179,0.21634615384615385,0.007692307692307693,1040,225,8,1.3330950736999512
12000,12.182,0.20696652012174502,0.008116334122421373,5914,1224,48,5.88377046585083
15000,12.179,0.21269579554822754,0.007694421544380325,7278,1548,56,7.208174467086792
15000,12.175,0.21167477414871438,0.009728978457261988,7195,1523,70,7.243252754211426
12000,12.175,0.21124097628050875,0.011172224132004124,5818,1229,65,5.880386114120483
12000,12.179,0.2025004402183483,0.00792393026941363,5679,1150,45,5.857762813568115
1500,12.174,0.2379110251450677,0.009671179883945842,517,123,5,1.0274417400360107
60000,12.177,0.20329748593405028,0.008760059824798803,28082,5709,246,28.050835847854614
10000,12.174,0.20286348054043155,0.008267795926598105,4959,1006,41,4.909117937088013
40000,12.171,0.20735126155124078,0.007475859204651646,19262,3994,144,18.79736018180847
4000,12.174,0.1952975047984645,0.013435700575815739,2084,407,28,2.2256059646606445
12000,12.173,0.20894239036973344,0.007394668959587274,5815,1215,43,5.893000364303589
3000,12.17,0.19745222929936307,0.008280254777070064,1570,310,13,1.7504558563232422
1500,12.174,0.1992818671454219,0.012567324955116697,557,111,7,1.0642545223236084
8000,12.173,0.1957749938590027,0.006877916973716531,4071,797,28,4.014008283615112
1000,12.175,0.1988527724665392,0.01338432122370937,523,104,7,0.8378994464874268
8000,12.175,0.21197252208047104,0.005888125613346418,4076,864,24,4.067611932754517
15000,12.175,0.21297463920414741,0.008406893652795292,7137,1520,60,7.216789245605469
30000,12.173,0.2064397942647784,0.008948072993729303,14193,2930,127,14.124470949172974
22000,12.174,0.20931353644427303,0.008098727342846125,10372,2171,84,10.600581645965576
10000,12.17,0.2012018234562785,0.009117281392457521,4826,971,44,4.934749603271484
60000,12.175,0.20584524093714832,0.008934965726562766,29323,6036,262,27.975343227386475
10000,12.169,0.19186046511627908,0.00813953488372093,5160,990,42,4.985082626342773
1500,12.169,0.21713147410358566,0.017928286852589643,502,109,9,1.0443744659423828
40000,12.167,0.2074368080217255,0.008982661374556089,19148,3972,172,18.782105684280396
4000,12.167,0.19792137370085855,0.00903750564844103,2213,438,20,2.2229084968566895
4000,12.17,0.1924510717614166,0.012115563839701771,2146,413,26,2.1600515842437744
40000,12.171,0.21293072085650433,0.008211631412088768,19241,4097,158,18.890262603759766
60000,12.161,0.20113383416805788,0.0077907623817473565,28752,5783,224,28.027624368667603
10000,12.157,0.20756948551153165,0.009264734870885078,5073,1053,47,4.917969703674316
30000,12.162,0.21278956859481205,0.008739076154806492,14418,3068,126,14.228967189788818
22000,12.161,0.20859129440899132,0.007429278978950377,10499,2190,78,10.449168682098389
40000,12.165,0.2026679027606098,0.009579728059332509,19416,3935,186,18.730411767959595
30000,12.162,0.20074323859335214,0.006813020439061317,14531,2917,99,14.042369604110718
1500,12.162,0.2136602451838879,0.0070052539404553416,571,122,4,1.1319167613983154
30000,12.161,0.20375851862049976,0.00908652853307634,14527,2960,132,14.169774532318115
10000,12.161,0.21357447673237148,0.010770168664905507,4921,1051,53,5.018641471862793
15000,12.159,0.1985734664764622,0.008559201141226819,7010,1392,60,7.262228965759277
8000,12.159,0.19428133775848863,0.00791422006637733,3917,761,31,4.106709003448486
2000,12.161,0.2303206997084548,0.003887269193391642,1029,237,4,1.2365188598632812
8000,12.161,0.20976720647773278,0.011892712550607287,3952,829,47,4.069971799850464
4000,12.162,0.19320899091343854,0.008130081300813009,2091,404,17,2.230334758758545
8000,12.163,0.21539657853810265,0.01088646967340591,3858,831,42,4.084572792053223
60000,12.155,0.20581391310387942,0.010002431146459208,28793,5926,288,28.029006242752075
8000,12.161,0.1962180746561886,0.008104125736738703,4072,799,33,4.055779457092285
15000,12.161,0.20701849836779107,0.010065288356909684,7352,1522,74,7.289740324020386
1000,12.159,0.20428015564202334,0.007782101167315175,514,105,4,0.818810224533081
2000,12.162,0.17288135593220338,0.012711864406779662,1180,204,15,1.2922706604003906
40000,12.162,0.20569554352353187,0.009839650145772596,19208,3951,189,18.731557846069336
6000,12.162,0.21082910321489,0.008798646362098138,2955,623,26,3.147937774658203
1000,12.158,0.1830708661417323,0.005905511811023622,508,93,3,0.8359887599945068
15000,12.161,0.20662525879917185,0.007177363699102829,7245,1497,52,7.279937267303467
10000,12.163,0.20052135552436334,0.00721876879887708,4987,1000,36,4.974877595901489
15000,12.162,0.2080813633864761,0.008383727322704784,7276,1514,61,7.262648105621338
15000,12.163,0.20584619587488048,0.009015161863133453,7321,1507,66,7.229102849960327
6000,12.161,0.1967793880837359,0.008051529790660225,3105,611,25,3.1323349475860596
2000,12.161,0.19330855018587362,0.010223048327137546,1076,208,11,1.2921702861785889
8000,12.154,0.18718135469774216,0.009953872299101723,4119,771,41,4.084792613983154
