key,timestamp,date,time,data_type,fit_kind,model,sign_mode,status,fail_reason,RF_set,RF_meas,fit_extreme,score_R2,score_AICc,score_BIC,score_SSE,score_RMSE,keep,note,amp1_Value,amp1_Sigma1,amp1_CI95_width,amp1_CI95_low,amp1_CI95_high,amp2_Value,amp2_Sigma1,amp2_CI95_width,amp2_CI95_low,amp2_CI95_high,base_Value,base_Sigma1,base_CI95_width,base_CI95_low,base_CI95_high,center1_Value,center1_Sigma1,center1_CI95_width,center1_CI95_low,center1_CI95_high,center2_Value,center2_Sigma1,center2_CI95_width,center2_CI95_low,center2_CI95_high,sigma1_Value,sigma1_Sigma1,sigma1_CI95_width,sigma1_CI95_low,sigma1_CI95_high,sigma2_Value,sigma2_Sigma1,sigma2_CI95_width,sigma2_CI95_low,sigma2_CI95_high,RF_set_linear,RF_meas_uncertainty,RF_meas_linear,RF_meas_uncertainty_linear,W_sigma_ratio,S_separation,sep_over_min_sigma,peak_ratio,valley_ratio,p1_effheight,p2_effheight,double_class,use_center1,use_center2,primary_component,pedestal_component,weak_component,weak_rejected,decision_note,chosen_fit_kind,chosen_fit_kind_raw,AICc_single,AICc_double,delta_AICc
20251210_182135_lost_double,20251210_182135,20251210,182135,lost,double,double_gaussian,peak,ok,,1.0,10.993414634146342,0.0599007984038898,0.974379356510317,-603.94585892317,-593.02773065689,0.0002649865659517,0.0022794330476375,True,,0.032285,0.0017416,0.0034687,0.028816,0.035753,0.026275,0.0036008,0.0071716,0.019104,0.033447,0.011435,0.00088559,0.0017638,0.0096714,0.013199,36.752,0.079675,0.15869,36.5933,36.9107,37.815,0.039136,0.077946,37.7371,37.893,1.696,0.11812,0.23525,1.4608,1.9313,0.4,,,,,1.2589254117941673,0.0009778024140773718,12.570186207951245,0.0028316957010000848,4.239999999999999,0.6100320166305933,2.657499999999988,0.6720677694960272,0.0,0.03230751241524607,0.04807180745994255,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,-520.994497913726,-603.94585892317,82.95136100944399
20251210_182135_trapped_double,20251210_182135,20251210,182135,trapped,double,double_gaussian,dip,ok,,1.0,10.993414634146342,0.0623370895022176,0.896255390651612,-521.011650230002,-510.093521963722,0.0013472760400801,0.0051397643191564,True,,0.034175,0.0026075,0.0051933,0.028982,0.039369,0.029486,0.0057641,0.01148,0.018006,0.040966,0.11309,0.0010923,0.0021756,0.11091,0.11527,36.792,0.10565,0.21043,36.5815,37.0024,37.7837,0.049703,0.098993,37.6847,37.8827,1.3984,0.14359,0.28598,1.1124,1.6844,0.4,,,,,1.2589254117941673,0.0009778024140773718,12.570186207951245,0.0028316957010000848,3.496,0.681822741719356,2.479250000000004,0.6826628261271552,0.0,0.03423811700909003,0.050153773867148754,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,,-521.011650230002,
20251210_182826_lost_double,20251210_182826,20251210,182826,lost,double,double_gaussian,peak,ok,,1.0,10.980648936170214,0.0709816106747794,0.929071934604206,-1230.21411580035,-1211.97602149964,0.0025254562481264,0.0046659591246403,True,,0.023597,0.0021544,0.0042502,0.019347,0.027847,0.039029,0.0031077,0.0061309,0.032898,0.04516,0.015188,0.0011934,0.0023544,0.012834,0.017542,53.6638,0.40863,0.80615,52.8576,54.4699,56.7453,0.079049,0.15595,56.5894,56.9013,5.1584,0.54039,1.0661,4.0923,6.2245,1.6392,0.14707,0.29013,1.3491,1.9294,1.2589254117941673,0.000669464216429476,12.533292415822826,0.001932805692336033,3.146900927281601,0.5693214024195572,1.879880429477793,0.44534567864201835,0.0,0.024736232204201708,0.05554389183617835,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,,-1230.21411580035,
20251210_182826_trapped_double,20251210_182826,20251210,182826,trapped,double,double_gaussian,dip,ok,,1.0,10.980648936170214,0.0446135330294878,0.927742280891598,-1233.14589091747,-1214.90779661677,0.0024624279021191,0.0046073665734784,True,,0.026381,0.0022116,0.0043631,0.022018,0.030744,0.045386,0.0039017,0.0076975,0.037688,0.053083,0.10726,0.0010073,0.0019872,0.10527,0.10925,54.3398,0.36211,0.71438,53.6254,55.0542,57.072,0.064417,0.12708,56.9449,57.199,4.1261,0.42489,0.83823,3.2879,4.9643,1.2153,0.12212,0.24093,0.9744,1.4563,1.2589254117941673,0.000669464216429476,12.533292415822826,0.001932805692336033,3.3951287747881183,0.6351951805283805,2.248169176335066,0.4273989914077681,0.0,0.026670656089510317,0.062402243865064884,ambiguous,False,True,2.0,,,False,ambiguous | best_one=dominant,double,double,,-1233.14589091747,
20251210_184343_lost_double,20251210_184343,20251210,184343,lost,double,double_gaussian,peak,ok,,1.0,10.999487804878049,0.0496128923503677,0.976125924090427,-639.121812368091,-628.203684101811,0.0001329475318246,0.0016145632070325,True,,0.038414,0.0013139,0.0026168,0.035797,0.041031,0.010838,0.0023639,0.0047082,0.0061299,0.015546,0.011152,0.00033378,0.00066479,0.010487,0.011817,75.0237,0.0263,0.05238,74.9713,75.0761,75.9581,0.069526,0.13847,75.8196,76.0965,0.63547,0.039469,0.078609,0.55686,0.71408,0.4,,,,,1.2589254117941673,0.000367152167174323,12.58777052302398,0.0010640570869126086,1.5886749999999998,1.2444050770414101,2.3359999999999914,0.39674243640031925,0.0,0.03846024335399031,0.015258810652811301,ambiguous,True,False,1.0,,,False,ambiguous | best_one=dominant,double,double,-619.860244688587,-639.121812368091,19.26156767950397
20251210_184343_trapped_single,20251210_184343,20251210,184343,trapped,single,single_gaussian,dip,ok,,1.0,10.999487804878049,0.067292624661957,0.911330211826318,-559.873999799298,-553.016262485792,0.0007317958506568,0.003787999240783,True,,0.044149,0.0023664,0.0047098,0.039439,0.048859,,,,,,0.11144,0.00067244,0.0013383,0.1101,0.11278,75.1156,0.031943,0.063576,75.052,75.1792,,,,,,0.74508,0.04794,0.095416,0.64966,0.8405,,,,,,1.2589254117941673,0.000367152167174323,12.58777052302398,0.0010640570869126086,,,,,,,,single,True,False,1.0,,,False,,single,single,-559.873999799298,-555.70126446538,-4.172735333918013
20251210_185032_lost_double,20251210_185032,20251210,185032,lost,double,double_gaussian,peak,ok,,1.0,10.986317073170731,0.046566567473862,0.951342332727416,-609.601004335078,-598.682876068798,0.0002371739708395,0.0021564948449885,True,,0.023582,0.0013158,0.0026217,0.020961,0.026204,0.013934,0.0019824,0.0039498,0.0099844,0.017884,0.011823,0.0012147,0.0024202,0.0094029,0.014243,94.2039,0.080355,0.1601,94.0438,94.364,95.1931,0.04731,0.094262,95.0988,95.2873,2.748,0.2075,0.41343,2.3345,3.1614,0.42449,0.075222,0.14987,0.27461,0.57436,1.2589254117941673,0.0015165084040126243,12.549667426429579,0.0043897393429656465,6.4736507338217635,0.35575149147312113,2.330325802727972,0.6823397475673953,0.0,0.02364304851211813,0.034649965206347416,pedestal_plus_peak,False,True,2.0,1.0,,False,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",double,double,-567.269628573601,-609.601004335078,42.33137576147692
20251210_185032_trapped_double,20251210_185032,20251210,185032,trapped,double,double_gaussian,dip,ok,,1.0,10.986317073170731,0.0844113707561912,0.867135981953283,-562.13130294096,-551.21317467468,0.0006015877347626,0.0034345069422731,True,,0.048307,0.017447,0.034749,0.013558,0.083056,0.018329,0.003283,0.0065387,0.011791,0.024868,0.14995,0.014541,0.028961,0.12098,0.17891,93.483,0.50187,0.99957,92.4835,94.4826,95.0715,0.14305,0.28491,94.7866,95.3564,10.0,,,,,1.8967,0.33494,0.66709,1.2296,2.5638,1.2589254117941673,0.0015165084040126243,12.549667426429579,0.0043897393429656465,5.272315073548795,0.15606756072623587,0.8375072494332241,0.8771815641192157,0.0,0.05739601109767462,0.0654323043773798,pedestal_plus_peak,False,True,2.0,1.0,,False,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",double,double,-555.694244802758,-562.13130294096,6.437058138202019
20251210_185733_lost_double,20251210_185733,20251210,185733,lost,double,double_gaussian,peak,ok,,1.0,10.994666666666667,0.0301653357961042,0.950643011534417,-527.209266979804,-518.608201906813,6.98309688494191e-05,0.0013050648881113,True,,0.015963,0.0010822,0.0021669,0.013796,0.01813,0.018149,0.1077,0.21565,-0.1975,0.2338,-0.0037773,0.1083,0.21686,-0.22063,0.21308,150.3806,0.040366,0.080825,150.2998,150.4615,151.1601,0.23739,0.47533,150.6847,151.6354,0.82773,0.066937,0.13403,0.6937,0.96176,8.0,27.1007,54.2643,-46.2643,62.2643,1.2589254117941673,0.000917336344411776,12.573808495149626,0.0026558958025417107,9.664987375110242,0.09692010334116581,0.9417322073623199,0.7284781077978683,0.0,0.03394050755726621,0.024724916723016535,pedestal_plus_peak,True,False,1.0,2.0,,False,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",double,double,-519.298417705119,-527.209266979804,7.910849274685006
20251212_130011_lost_double,20251212_130011,20251212,130011,lost,double,double_gaussian,peak,ok,,2.0,11.403975609756099,0.0654336622173042,0.987094606457226,-636.183867634942,-625.265739368662,0.0001408311017303,0.001661744309927,True,,0.038488,0.0028981,0.0057743,0.032714,0.044263,0.019028,0.002622,0.005224,0.013804,0.024252,0.01121,0.0019024,0.0037903,0.0074201,0.015001,35.8264,0.041283,0.082253,35.7441,35.9086,37.1258,0.22943,0.45711,36.6687,37.5829,0.75319,0.070332,0.14013,0.61305,0.89332,2.9414,0.42795,0.85265,2.0887,3.794,1.5848931924611136,0.0021481201056044665,13.816524254000575,0.006842387270456175,3.905256309828861,0.4279548112368195,1.7251955017990128,0.38768375017402684,0.0,0.05414248625386643,0.020990162114644637,ambiguous,True,False,1.0,,,False,ambiguous | best_one=dominant,double,double,-531.297894106683,-636.183867634942,104.885973528259
