timestamp,date,time,data_type,RF_set,RF_meas,model_chosen,chosen_fit_kind,AICc_single,AICc_double,delta_AICc,score_R2,score_SSE,score_RMSE,sign_mode,double_class,decision_note,weak_rejected,weak_component,component,center,center_sigma,sigma,amp
20251210_182135,20251210,182135,lost,1.0,10.993414634146342,double,double,-520.994497913726,-603.94585892317,82.95136100944399,0.974379356510317,0.0002649865659517,0.0022794330476375,peak,ambiguous,ambiguous | best_one=dominant,False,,2,37.815,0.039136,0.4,0.026275
20251210_182135,20251210,182135,trapped,1.0,10.993414634146342,double,double,,-521.011650230002,,0.896255390651612,0.0013472760400801,0.0051397643191564,dip,ambiguous,ambiguous | best_one=dominant,False,,2,37.7837,0.049703,0.4,0.029486
20251210_182826,20251210,182826,lost,1.0,10.980648936170214,double,double,,-1230.21411580035,,0.929071934604206,0.0025254562481264,0.0046659591246403,peak,ambiguous,ambiguous | best_one=dominant,False,,2,56.7453,0.079049,1.6392,0.039029
20251210_182826,20251210,182826,trapped,1.0,10.980648936170214,double,double,,-1233.14589091747,,0.927742280891598,0.0024624279021191,0.0046073665734784,dip,ambiguous,ambiguous | best_one=dominant,False,,2,57.072,0.064417,1.2153,0.045386
20251210_184343,20251210,184343,lost,1.0,10.999487804878049,double,double,-619.860244688587,-639.121812368091,19.26156767950397,0.976125924090427,0.0001329475318246,0.0016145632070325,peak,ambiguous,ambiguous | best_one=dominant,False,,1,75.0237,0.0263,0.63547,0.038414
20251210_184343,20251210,184343,trapped,1.0,10.999487804878049,single,single,-559.873999799298,-555.70126446538,-4.172735333918013,0.911330211826318,0.0007317958506568,0.003787999240783,dip,single,,False,,1,75.1156,0.031943,0.74508,0.044149
20251210_185032,20251210,185032,lost,1.0,10.986317073170731,double,double,-567.269628573601,-609.601004335078,42.33137576147692,0.951342332727416,0.0002371739708395,0.0021564948449885,peak,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,95.1931,0.04731,0.42449,0.013934
20251210_185032,20251210,185032,trapped,1.0,10.986317073170731,double,double,-555.694244802758,-562.13130294096,6.437058138202019,0.867135981953283,0.0006015877347626,0.0034345069422731,dip,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,95.0715,0.14305,1.8967,0.018329
20251210_185733,20251210,185733,lost,1.0,10.994666666666667,double,double,-519.298417705119,-527.209266979804,7.910849274685006,0.950643011534417,6.98309688494191e-05,0.0013050648881113,peak,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,1,150.3806,0.040366,0.82773,0.015963
20251212_130011,20251212,130011,lost,2.0,11.403975609756099,double,double,-531.297894106683,-636.183867634942,104.885973528259,0.987094606457226,0.0001408311017303,0.001661744309927,peak,ambiguous,ambiguous | best_one=dominant,False,,1,35.8264,0.041283,0.75319,0.038488
