key,timestamp,date,time,data_type,fit_kind,model,sign_mode,status,fail_reason,RF_set,RF_meas,fit_extreme,score_R2,score_AICc,score_BIC,score_SSE,score_RMSE,keep,note,amp1_Value,amp1_Sigma1,amp1_CI95_width,amp1_CI95_low,amp1_CI95_high,amp2_Value,amp2_Sigma1,amp2_CI95_width,amp2_CI95_low,amp2_CI95_high,base_Value,base_Sigma1,base_CI95_width,base_CI95_low,base_CI95_high,center1_Value,center1_Sigma1,center1_CI95_width,center1_CI95_low,center1_CI95_high,center2_Value,center2_Sigma1,center2_CI95_width,center2_CI95_low,center2_CI95_high,sigma1_Value,sigma1_Sigma1,sigma1_CI95_width,sigma1_CI95_low,sigma1_CI95_high,sigma2_Value,sigma2_Sigma1,sigma2_CI95_width,sigma2_CI95_low,sigma2_CI95_high
20251209_170328_lost_double,20251209_170328,20251209,170328,lost,double,double_gaussian,peak,ok,,0,10.24953659,0.010842443,NaN,NaN,NaN,NaN,NaN,1,,0.0073057,0.0004956,0.00098707,0.0063186,0.0082928,0.0056396,0.0010969,0.0021847,0.0034549,0.0078242,0.002482,0.00036731,0.00073157,0.0017504,0.0032136,34.7335,0.11625,0.23153,34.502,34.9651,36.8347,0.056269,0.11207,36.7226,36.9467,2.0956,0.23334,0.46475,1.6309,2.5604,0.4,NaN,NaN,NaN,NaN
20251209_170328_lost_single,20251209_170328,20251209,170328,lost,single,single_gaussian,peak,ok,,0,10.24953659,0.009584635,0.791092151,-662.7018599,-655.8441226,9.74E-05,0.001382263,1,,0.0073628,0.00043896,0.00087366,0.0064891,0.0082364,NaN,NaN,NaN,NaN,NaN,0.0022219,0.00037682,0.00074999,0.0014719,0.0029719,34.8878,0.089187,0.17751,34.7103,35.0653,NaN,NaN,NaN,NaN,NaN,2.3656,0.20648,0.41096,1.9547,2.7766,NaN,NaN,NaN,NaN,NaN
20251209_170328_trapped_double,20251209_170328,20251209,170328,trapped,double,double_gaussian,dip,ok,,0,10.24953659,0.11143853,NaN,NaN,NaN,NaN,NaN,1,,0.018573,0.03681,0.07334,-0.054767,0.091914,0.017167,0.065443,0.13039,-0.11322,0.14756,0.14104,0.0023361,0.0046545,0.13638,0.14569,34.8664,4.3642,8.6954,26.171,43.5617,36.432,0.5656,1.1269,35.3051,37.5589,2.1319,2.592,5.1643,-3.0324,7.2962,1.3955,1.3977,2.7849,-1.3894,4.1804
20251209_170328_trapped_single,20251209_170328,20251209,170328,trapped,single,single_gaussian,dip,ok,,0,10.24953659,0.111719551,0.86018541,-549.8917308,-543.0339935,0.00089001,0.00417746,1,,0.029068,0.0018294,0.0036411,0.025427,0.032709,NaN,NaN,NaN,NaN,NaN,0.14079,0.0013364,0.0026598,0.13813,0.14345,35.6592,0.092589,0.18428,35.4749,35.8435,NaN,NaN,NaN,NaN,NaN,2.1266,0.18745,0.37308,1.7535,2.4997,NaN,NaN,NaN,NaN,NaN
20251209_171547_lost_double,20251209_171547,20251209,171547,lost,double,double_gaussian,peak,ok,,0,10.27255263,0.011363663,NaN,NaN,NaN,NaN,NaN,1,,0.0021637,0.0011197,0.0022357,-7.20E-05,0.0043994,0.0059936,0.00093109,0.0018591,0.0041345,0.0078527,0.0036236,0.00025473,0.00050863,0.003115,0.0041323,55.8926,0.14515,0.28983,55.6028,56.1825,56.3424,0.12143,0.24246,56.0999,56.5848,0.43326,0.26418,0.5275,-0.094241,0.96076,1.5191,0.18525,0.36989,1.1492,1.889
20251209_171547_lost_single,20251209_171547,20251209,171547,lost,single,single_gaussian,peak,ok,,0,10.27255263,0.010788864,0.813369209,-607.3633814,-601.0244256,6.98E-05,0.001231728,1,,0.0071053,0.00047633,0.00094981,0.0061554,0.0080551,NaN,NaN,NaN,NaN,NaN,0.0036836,0.00023528,0.00046914,0.0032145,0.0041527,56.2535,0.06976,0.1391,56.1144,56.3926,NaN,NaN,NaN,NaN,NaN,1.3603,0.1174,0.23409,1.1262,1.5944,NaN,NaN,NaN,NaN,NaN
20251209_171547_trapped_double,20251209_171547,20251209,171547,trapped,double,double_gaussian,dip,ok,,0,10.27255263,0.088298298,NaN,NaN,NaN,NaN,NaN,1,,0.011582,0.0031016,0.006193,0.0053887,0.017775,0.045878,0.0026825,0.0053562,0.040522,0.051234,0.13427,0.0024836,0.0049591,0.12931,0.13923,53.2037,0.46114,0.92077,52.2829,54.1244,56.1905,0.13849,0.27652,55.914,56.467,1.3584,0.49416,0.98669,0.37173,2.3451,1.8826,0.21148,0.42226,1.4603,2.3048
20251209_171547_trapped_single,20251209_171547,20251209,171547,trapped,single,single_gaussian,dip,ok,,0,10.27255263,0.090008738,0.892988045,-476.8991129,-470.560157,0.00118994,0.005086085,1,,0.041702,0.0024613,0.0049079,0.036794,0.04661,NaN,NaN,NaN,NaN,NaN,0.13171,0.0020767,0.004141,0.12757,0.13585,55.9699,0.080169,0.15986,55.81,56.1297,NaN,NaN,NaN,NaN,NaN,2.1363,0.18181,0.36253,1.7738,2.4989,NaN,NaN,NaN,NaN,NaN
20251209_172238_lost_double,20251209_172238,20251209,172238,lost,double,double_gaussian,peak,ok,,0,10.27495122,0.02329806,NaN,NaN,NaN,NaN,NaN,1,,0.013929,0.00081399,0.0016212,0.012308,0.01555,0.005933,0.0013699,0.0027283,0.0032046,0.0086613,0.0045105,0.00029114,0.00057986,0.0039307,0.0050904,65.7073,0.051279,0.10213,65.6051,65.8094,66.1275,0.057192,0.11391,66.0136,66.2414,1.3833,0.082588,0.16449,1.2188,1.5478,0.36,NaN,NaN,NaN,NaN
20251209_172238_lost_single,20251209_172238,20251209,172238,lost,single,single_gaussian,peak,ok,,0,10.27495122,0.019909707,0.927611163,-650.9134346,-644.0556973,0.000122783,0.001551612,1,,0.015287,0.00050716,0.0010094,0.014278,0.016297,NaN,NaN,NaN,NaN,NaN,0.0046224,0.00023668,0.00047107,0.0041514,0.0050935,65.7807,0.0327,0.065082,65.7156,65.8458,NaN,NaN,NaN,NaN,NaN,1.2788,0.05406,0.10759,1.1712,1.3864,NaN,NaN,NaN,NaN,NaN
20251209_172238_trapped_double,20251209_172238,20251209,172238,trapped,double,double_gaussian,dip,ok,,0,10.27495122,0.066192481,NaN,NaN,NaN,NaN,NaN,1,,0.025974,0.0057933,0.011538,0.014435,0.037512,0.066396,0.0025564,0.0050916,0.061305,0.071488,0.13259,0.0010485,0.0020882,0.1305,0.13468,64.427,0.050341,0.10026,64.3267,64.5272,65.6899,0.044017,0.087668,65.6022,65.7775,0.36,NaN,NaN,NaN,NaN,1.1218,0.071051,0.14151,0.98028,1.2633
20251209_172238_trapped_single,20251209_172238,20251209,172238,trapped,single,single_gaussian,dip,ok,,0,10.27495122,0.067484509,0.946221871,-523.8024064,-516.9446691,0.001484432,0.005395046,1,,0.066112,0.0023373,0.004652,0.06146,0.070764,NaN,NaN,NaN,NaN,NaN,0.1336,0.0011201,0.0022293,0.13137,0.13583,65.5654,0.035717,0.071086,65.4943,65.6365,NaN,NaN,NaN,NaN,NaN,1.3151,0.059533,0.11849,1.1966,1.4336,NaN,NaN,NaN,NaN,NaN
20251209_174008_lost_double,20251209_174008,20251209,174008,lost,double,double_gaussian,peak,ok,,0,10.29580488,0.006382771,NaN,NaN,NaN,NaN,NaN,1,,0.0041962,0.00047525,0.0009469,0.0032493,0.0051431,0.0016618,0.00073738,0.0014692,0.00019259,0.0031309,0.0021865,0.00030324,0.00060419,0.0015824,0.0027907,92.4541,0.13363,0.26625,92.1878,92.7203,96.3053,0.20858,0.41557,95.8898,96.7209,1.6572,0.24459,0.48733,1.1699,2.1445,0.60545,0.32706,0.65165,-0.0462,1.2571
20251209_174008_lost_single,20251209_174008,20251209,174008,lost,single,single_gaussian,peak,ok,,0,10.29580488,0.006394996,0.633665887,-691.1630055,-684.3052682,5.58E-05,0.001045705,1,,0.0038528,0.00046704,0.00092956,0.0029232,0.0047823,NaN,NaN,NaN,NaN,NaN,0.0025422,0.00022669,0.00045119,0.002091,0.0029934,92.4756,0.13766,0.27399,92.2016,92.7495,NaN,NaN,NaN,NaN,NaN,1.4808,0.23039,0.45855,1.0223,1.9394,NaN,NaN,NaN,NaN,NaN
20251209_174008_trapped_double,20251209_174008,20251209,174008,trapped,double,double_gaussian,dip,ok,,0,10.29580488,0.104402839,NaN,NaN,NaN,NaN,NaN,1,,0.030125,0.0038453,0.0076586,0.022466,0.037784,0.037888,0.017123,0.034104,0.0037843,0.071993,0.17118,0.01577,0.031409,0.13977,0.20259,93.0661,0.10066,0.20049,92.8657,93.2666,94.9015,1.3833,2.755,92.1464,97.6565,1.1369,0.18286,0.36419,0.77271,1.5011,10,NaN,NaN,NaN,NaN
20251209_174008_trapped_single,20251209_174008,20251209,174008,trapped,single,single_gaussian,dip,ok,,0,10.29580488,0.105091129,0.732672418,-492.0268202,-485.1690829,0.002767884,0.007366969,1,,0.036271,0.0036989,0.007362,0.028909,0.043633,NaN,NaN,NaN,NaN,NaN,0.14136,0.0016704,0.0033245,0.13804,0.14469,93.1267,0.10822,0.21538,92.9114,93.3421,NaN,NaN,NaN,NaN,NaN,1.3715,0.17717,0.35262,1.0189,1.7241,NaN,NaN,NaN,NaN,NaN
20251209_180316_lost_double,20251209_180316,20251209,180316,lost,double,double_gaussian,peak,ok,,0,10.33380435,0.008248557,NaN,NaN,NaN,NaN,NaN,1,,0.0058265,0.00058314,0.0011599,0.0046666,0.0069864,0.0027771,0.00090996,0.0018099,0.00096717,0.004587,0.0019633,0.00050231,0.00099911,0.00096415,0.0029624,121.7504,0.24542,0.48814,121.2623,122.2386,123.8574,0.14125,0.28096,123.5764,124.1384,2.8316,0.46266,0.92024,1.9114,3.7518,0.742,0.28217,0.56124,0.18076,1.3032
20251209_180316_lost_single,20251209_180316,20251209,180316,lost,single,single_gaussian,peak,ok,,0,10.33380435,0.00811801,0.81358717,-759.7917612,-752.4746681,6.13E-05,0.001046518,1,,0.0065354,0.00054581,0.0010847,0.0054507,0.0076201,NaN,NaN,NaN,NaN,NaN,0.0015826,0.00056482,0.0011225,0.00046011,0.002705,122.1015,0.12055,0.23957,121.862,122.3411,NaN,NaN,NaN,NaN,NaN,3.2349,0.37197,0.73922,2.4956,3.9741,NaN,NaN,NaN,NaN,NaN
20251209_180316_trapped_double,20251209_180316,20251209,180316,trapped,double,double_gaussian,peak,ok,,0,10.33380435,0.143269911,NaN,NaN,NaN,NaN,NaN,1,,0.043998,0.0039856,0.0079251,0.036073,0.051923,0.047015,0.00407,0.008093,0.038922,0.055108,0.096115,0.0043373,0.0086243,0.087491,0.10474,116,NaN,NaN,NaN,NaN,126.1334,0.099721,0.19829,125.9351,126.3317,4.223,0.47828,0.95103,3.2719,5.174,1.8641,0.21453,0.42658,1.4375,2.2907
20251209_180316_trapped_single,20251209_180316,20251209,180316,trapped,single,single_gaussian,peak,ok,,0,10.33380435,0.143954053,0.294759094,-480.8045939,-473.4875009,0.008939216,0.012634432,1,,0.026807,0.00689,0.013692,0.013115,0.0405,NaN,NaN,NaN,NaN,NaN,0.11715,0.0022232,0.0044182,0.11273,0.12156,126.1233,0.28126,0.55895,125.5644,126.6823,NaN,NaN,NaN,NaN,NaN,1.1696,0.46078,0.9157,0.25388,2.0853,NaN,NaN,NaN,NaN,NaN
20251210_132650_lost_double,20251210_132650,20251210,132650,lost,double,double_gaussian,peak,ok,,0.5,10.48852174,0.047261737,NaN,NaN,NaN,NaN,NaN,1,,0.030202,0.0016853,0.0033522,0.02685,0.033555,0.031965,0.0026976,0.0053656,0.0266,0.037331,0.012148,0.00060306,0.0011995,0.010948,0.013347,34.6883,0.094781,0.18852,34.4997,34.8768,36.3892,0.062616,0.12455,36.2646,36.5137,1.1084,0.12904,0.25667,0.85173,1.3651,0.70129,0.075556,0.15028,0.55101,0.85157
20251210_132650_lost_single,20251210_132650,20251210,132650,lost,single,single_gaussian,peak,ok,,0.5,10.48852174,0.044025535,0.885270779,-604.9496592,-597.6325662,0.000973918,0.004170299,1,,0.03269,0.0012243,0.002433,0.030257,0.035123,NaN,NaN,NaN,NaN,NaN,0.011336,0.00065223,0.0012962,0.01004,0.012632,35.3174,0.050516,0.10039,35.217,35.4177,NaN,NaN,NaN,NaN,NaN,1.784,0.087327,0.17355,1.6105,1.9576,NaN,NaN,NaN,NaN,NaN
20251210_132650_trapped_double,20251210_132650,20251210,132650,trapped,double,double_gaussian,dip,ok,,0.5,10.48852174,0.056888842,NaN,NaN,NaN,NaN,NaN,1,,0.024086,0.0019513,0.00388,0.020206,0.027966,0.027788,0.0046387,0.0092238,0.018564,0.037012,0.093762,0.00092858,0.0018464,0.091915,0.095608,34.9352,0.1258,0.25014,34.6851,35.1854,36.5229,0.04344,0.086378,36.4365,36.6093,1.5912,0.20408,0.40581,1.1854,1.997,0.4,NaN,NaN,NaN,NaN
