Ex,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.1,1500,16000,12.102,0.010680907877169559,0.014597240765465064,11235,120,164,32.587202310562134
-0.1,1200,12000,12.085,0.015022780445757911,0.016377293436768872,8121,122,133,21.133262634277344
-0.3,1500,16000,12.088,0.0035435122459614382,0.0011464304325169358,9595,34,11,32.5504891872406
-0.15,1200,12000,12.081,0.024674174364165507,0.018220928761229913,7903,195,144,21.112996339797974
-0.2,1500,16000,12.074,0.019002840630815948,0.012537956704868253,10209,194,128,32.568286657333374
-0.05,1500,16000,12.067,0.0039326322988800545,0.01744036932546807,11697,46,204,32.61381936073303
-0.35,800,8000,12.067,0.0073372781065088755,0.001893491124260355,4225,31,8,11.291697025299072
-0.2,300,5000,12.063,0.12724605793912724,0.009900990099009901,2727,347,27,4.980449199676514
-0.05,600,7000,12.067,0.029153169828782972,0.016427579824155485,4322,126,71,8.751961946487427
-0.15,3000,25000,12.064,0.000833472245374229,0.016558315274768018,17997,15,298,87.70472478866577
-0.2,1800,20000,12.059,0.0079879427279578,0.01333835719668425,13270,106,177,46.54971265792847
-0.35,1200,12000,12.055,0.0014291839359725598,0.0022866942975560954,6997,10,16,21.140506267547607
-0.1,500,6000,12.055,0.05568181818181818,0.016477272727272726,3520,196,58,6.924674987792969
-0.15,800,8000,12.055,0.041429731925264016,0.019902518277822908,4924,204,98,11.35722279548645
-0.1,1800,20000,12.055,0.0024834437086092716,0.019246688741721855,14496,36,279,46.35013437271118
-0.2,1200,12000,12.058,0.022617124394184167,0.01225094238018309,7428,168,91,21.010152578353882
-0.3,3000,25000,12.053,0.0003194888178913738,0.0019808306709265177,15650,5,31,87.93891263008118
-0.25,3000,25000,12.049,0.0006413134098634003,0.0030783043673443212,15593,10,48,87.94716811180115
-0.1,300,5000,12.063,0.07991437745272922,0.019978594363182306,2803,224,56,5.014195919036865
-0.25,1200,12000,12.06,0.014449575450618203,0.0023834351258751676,6713,97,16,21.11592149734497
-0.15,1800,20000,12.056,0.00545772085577063,0.019502255857953718,13742,75,268,46.388532876968384
-0.3,1800,20000,12.059,0.0012656091798852514,0.0020249746878164025,11852,15,24,46.42576003074646
-0.35,300,5000,12.051,0.037751677852348994,0.0008389261744966443,2384,90,2,4.981851816177368
-0.2,3000,25000,12.055,0.000809950824414232,0.012959213190627712,17285,14,224,87.79362297058105
0.0,600,7000,12.052,0.012823397075365579,0.01799775028121485,4445,57,80,8.62687873840332
-0.3,1000,10000,12.059,0.011000901713255185,0.0012623985572587917,5545,61,7,15.846317291259766
-0.15,300,5000,12.055,0.10290909090909091,0.01818181818181818,2750,283,50,5.04546856880188
0.0,1800,20000,12.052,0.00039491871256499704,0.016718225498584875,15193,6,254,46.409903049468994
-0.35,500,6000,12.052,0.02155607948804311,0.0006736274840013472,2969,64,2,6.971853256225586
-0.2,1000,10000,12.054,0.037267080745341616,0.013261708913882828,5957,222,79,15.79796576499939
-0.25,1500,16000,12.056,0.005904681568958245,0.0032686630113876003,9484,56,31,32.416045904159546
-0.25,1000,10000,12.052,0.021014492753623187,0.002898550724637681,5520,116,16,15.807469844818115
0.0,3000,25000,12.051,5.089058524173028e-05,0.016081424936386767,19650,1,316,87.81636643409729
-0.3,1200,12000,12.051,0.007726597325408618,0.0020802377414561664,6730,52,14,21.15230393409729
0.0,300,5000,12.051,0.027137042062415198,0.01729986431478969,2948,80,51,5.082114219665527
0.0,800,8000,12.054,0.004320060105184072,0.0169045830202855,5324,23,90,11.23962950706482
-0.15,600,7000,12.051,0.05616875153298995,0.01741476575913662,4077,229,71,8.685780048370361
0.0,1200,12000,12.054,0.001243640474844545,0.015488976823063877,8845,11,137,21.048068523406982
0.0,1500,16000,12.054,0.0003289473684210526,0.016365131578947367,12160,4,199,32.51230025291443
-0.05,500,6000,12.048,0.03361807660512538,0.017911270322402865,3629,122,65,6.975358963012695
-0.2,500,6000,12.049,0.08470812182741116,0.014911167512690355,3152,267,47,6.81559157371521
-0.35,1800,20000,12.046,8.445945945945946e-05,0.0016891891891891893,11840,1,20,46.485549211502075
-0.25,800,8000,12.046,0.032546583850931676,0.002732919254658385,4025,131,11,11.25802993774414
-0.2,800,8000,12.048,0.04939091915836102,0.015282392026578074,4515,223,69,11.26775050163269
-0.1,800,8000,12.048,0.025583299222267705,0.020466639377814164,4886,125,100,11.302477598190308
-0.1,3000,25000,12.045,0.00032776138970829236,0.018354637823664373,18306,6,336,87.9162290096283
-0.25,1800,20000,12.046,0.0025971777335295643,0.0020777421868236516,11551,30,24,46.47084188461304
-0.25,300,5000,12.045,0.09564509564509564,0.002035002035002035,2457,235,5,4.9519171714782715
-0.35,1000,10000,12.041,0.0015082956259426848,0.001885369532428356,5304,8,10,15.790672540664673
-0.3,300,5000,12.045,0.0721779269827948,0.0029374737725556023,2383,172,7,5.025566101074219
-0.25,600,7000,12.046,0.05976806422836753,0.0023788284269997025,3363,201,8,8.61132550239563
-0.35,600,7000,12.046,0.01627176705680845,0.0011418783899514702,3503,57,4,8.7175612449646
-0.1,600,7000,12.043,0.039384758797483106,0.019109764623630857,4291,169,82,8.66637396812439
-0.3,600,7000,12.045,0.029470672389127324,0.002861230329041488,3495,103,10,8.635616064071655
-0.05,3000,25000,12.044,0.0001597273985731019,0.017357043978277073,18782,3,326,87.9622118473053
-0.35,1500,16000,12.044,0.0005529138560212319,0.0018799071104721884,9043,5,17,32.55967712402344
-0.05,300,5000,12.046,0.054016620498614956,0.02008310249307479,2888,156,58,4.9787585735321045
-0.05,1200,12000,12.044,0.004192355117139334,0.018495684340320593,8110,34,150,21.124247312545776
-0.25,500,6000,12.044,0.0651379195746095,0.004320372216683284,3009,196,13,6.913650989532471
0.0,1000,10000,12.044,0.0012862655423753037,0.018579391167643275,6997,9,130,15.836162328720093
-0.05,800,8000,12.046,0.016323357947920714,0.019043917605907502,5146,84,98,11.293261051177979
-0.2,600,7000,12.044,0.06945156330087135,0.013326499231163505,3902,271,52,8.623957872390747
-0.15,500,6000,12.045,0.06735125339776503,0.02265176683781335,3311,223,75,6.988566875457764
-0.3,500,6000,12.044,0.04735945485519591,0.002385008517887564,2935,139,7,6.9577014446258545
-0.3,800,8000,12.045,0.01969733365361518,0.0019216910881575786,4163,82,8,11.3321852684021
-0.15,1000,10000,12.045,0.0228626630172275,0.019803574303654807,6211,142,123,15.734048128128052
-0.1,1000,10000,12.045,0.014807959278111986,0.017584451642757983,6483,96,114,15.76582670211792
0.0,500,6000,12.043,0.01098901098901099,0.013082155939298797,3822,42,50,7.006944894790649
-0.15,1500,16000,12.041,0.007771275064760626,0.016406025136716875,10423,81,171,32.56951975822449
-0.05,1000,10000,12.045,0.010707283969235409,0.018549238425576837,6631,71,123,15.85701584815979
-0.35,3000,25000,12.047,0.00019639934533551554,0.0015057283142389526,15275,3,23,87.88327169418335
-0.05,1800,20000,12.049,0.0010590976488032196,0.017298594930452587,14163,15,245,46.44844579696655
