Ey,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.12,1500,16000,12.092,0.0004070832485243232,0.0014247913698351314,9826,4,14,32.555367946624756
-0.04,600,7000,12.077,0.06635718186783178,0.0032768978700163844,3662,243,12,8.592136859893799
0.08,1000,10000,12.087,0.04159794759025105,0.005497526113249038,5457,227,30,15.846693277359009
-0.12,1200,12000,12.083,0.0006706908115358819,0.0014755197853789403,7455,5,11,21.077757596969604
0.0,500,6000,12.078,0.1047506639126586,0.010032457952198289,3389,355,34,6.924408674240112
0.08,500,6000,12.077,0.1039815728858177,0.006252056597564989,3039,316,19,6.98772406578064
0.0,600,7000,12.079,0.09702660406885759,0.013041210224308816,3834,372,50,8.46834135055542
0.12,3000,25000,12.077,0.00020168067226890757,0.0025546218487394958,14875,3,38,87.93716478347778
-0.08,1000,10000,12.064,0.009862268321713994,0.0018704301989457576,5881,58,11,15.754760503768921
0.12,1800,20000,12.064,0.00174809894240014,0.0037584127261603008,11441,20,43,46.406479835510254
-0.12,600,7000,12.058,0.0071146245059288534,0.001844532279314888,3795,27,7,8.591138124465942
-0.04,800,8000,12.058,0.043799095453463464,0.0038086169959533444,4201,184,16,11.221184730529785
0.08,800,8000,12.058,0.047395588925387144,0.006335053965274519,4262,202,27,11.154192447662354
-0.16,500,6000,12.06,0.0,0.001195814648729447,3345,0,4,6.926340818405151
-0.16,800,8000,12.057,0.00020802995631370917,0.0008321198252548367,4807,1,4,11.23542594909668
-0.16,3000,25000,12.06,5.770007501009751e-05,0.0008655011251514627,17331,1,15,87.9087483882904
0.12,500,6000,12.038,0.04971988795518207,0.0031512605042016808,2856,142,9,7.020295858383179
0.0,1800,20000,12.038,0.009897191959490563,0.01120147307043118,13034,129,146,46.33313012123108
0.04,3000,25000,12.041,0.0006911248056211485,0.014974370788458216,17363,12,260,87.88280367851257
0.16,1000,10000,12.036,0.0033359497645211933,0.002354788069073783,5096,17,12,15.781463861465454
0.16,500,6000,12.036,0.013358070500927645,0.0037105751391465678,2695,36,10,6.910829782485962
0.0,3000,25000,12.038,0.0012273524254821741,0.011396843950905903,17110,21,195,87.8632287979126
0.12,800,8000,12.037,0.021831869510664993,0.0035131744040150566,3985,87,14,11.274367570877075
0.08,300,5000,12.038,0.1299687360428763,0.005806163465832961,2239,291,13,5.00646185874939
0.04,500,6000,12.037,0.08407486959189936,0.015035286897821418,3259,274,49,6.942308187484741
0.0,1500,16000,12.033,0.016297010607521697,0.011957569913211187,10370,169,124,32.51883029937744
-0.16,1500,16000,12.028,0.00028924026224450445,0.001349787890474354,10372,3,14,32.59828186035156
0.16,1800,20000,12.032,0.0003582303421099767,0.0027762851513523194,11166,4,31,46.41225790977478
-0.16,600,7000,12.032,0.0,0.0009992505620784412,4003,0,4,8.634164333343506
0.04,1000,10000,12.028,0.0360565210329706,0.017865843755075522,6157,222,110,15.839051961898804
0.04,1500,16000,12.032,0.014243380173979543,0.015294904884810247,10461,149,160,32.545695304870605
0.08,1500,16000,12.032,0.009227348526959422,0.0057809894385769875,8995,83,52,32.60807490348816
0.16,300,5000,12.032,0.0323639774859287,0.0009380863039399625,2132,69,2,4.940544843673706
0.0,1000,10000,12.035,0.03898768809849521,0.014192886456908345,5848,228,83,15.791371822357178
0.16,3000,25000,12.028,0.0002799552071668533,0.001959686450167973,14288,4,28,87.91257834434509
-0.04,1200,12000,12.023,0.017006802721088437,0.00354924578527063,6762,115,24,21.036396265029907
-0.08,500,6000,12.029,0.03161555485298767,0.002529244388239014,3163,100,8,6.951295614242554
0.04,1200,12000,12.025,0.019989479221462388,0.01604418726985797,7604,152,122,21.152613401412964
-0.12,3000,25000,12.024,0.0,0.0011464430097145961,16573,0,19,87.82592511177063
-0.08,3000,25000,12.024,0.000184660839591284,0.002400590914686692,16246,3,39,87.96572375297546
-0.12,1000,10000,12.027,0.0012163336229365769,0.002258905299739357,5755,7,13,15.725913524627686
-0.04,500,6000,12.022,0.07277075503928937,0.0034164673727365906,2927,213,10,6.9098217487335205
-0.12,300,5000,12.025,0.019088430074016362,0.0015582391897156214,2567,49,4,4.912292003631592
0.16,1500,16000,12.022,0.0004667444574095683,0.0022170361726954494,8570,4,19,32.54693126678467
0.08,3000,25000,12.02,0.00045868553830024245,0.006880283074503637,15261,7,105,87.86966967582703
-0.04,1500,16000,12.024,0.007510612822466529,0.002830085991074344,9187,69,26,32.5484721660614
0.04,300,5000,12.028,0.12197928653624857,0.01802838511699271,2607,318,47,4.9974846839904785
-0.16,300,5000,12.023,0.0,0.00040241448692152917,2485,0,1,4.957914590835571
0.04,800,8000,12.025,0.050921861281826165,0.012730465320456541,4556,232,58,11.28167200088501
-0.08,300,5000,12.027,0.04971475142624287,0.002037489812550937,2454,122,5,5.0414793491363525
0.0,300,5000,12.023,0.11972119721197212,0.013120131201312012,2439,292,32,4.974527359008789
