Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2,600,7000,12.066,0.00951188986232791,0.01276595744680851,3995,38,51,8.653591632843018
-0.05,1200,12000,12.055,0.0344488188976378,0.013076490438695163,7112,245,93,21.135669469833374
0.05,300,5000,12.058,0.1222509702457956,0.0129366106080207,3092,378,40,4.976788520812988
0.0,600,7000,12.06,0.10207939508506617,0.011072103699702943,3703,378,41,8.562259912490845
0.25,1800,20000,12.059,0.0021185420578747173,0.012277914199046657,20769,44,255,46.35888648033142
0.15,1500,16000,12.054,0.009353028446107204,0.011933174224343675,15503,145,185,32.48595190048218
0.1,1500,16000,12.054,0.017418963950318084,0.010527112996061799,13204,230,139,32.5114643573761
-0.1,1200,12000,12.047,0.02125984251968504,0.012204724409448819,7620,162,93,21.036806344985962
-0.2,1800,20000,12.045,0.0007926785328240975,0.013115226633998703,13877,11,182,46.49168062210083
-0.05,800,8000,12.04,0.05590480466995959,0.0163897620116749,4454,249,73,11.206197023391724
0.0,800,8000,12.042,0.05805038335158817,0.016210295728368018,4565,265,74,11.262391328811646
-0.15,800,8000,12.038,0.018819503849443968,0.012189905902480752,4676,88,57,11.216350555419922
0.2,600,7000,12.043,0.030128416200197565,0.011524530786960816,6074,183,70,8.578125238418579
0.15,1000,10000,12.04,0.021907356948228884,0.009700272479564032,9175,201,89,15.71630072593689
0.1,600,7000,12.042,0.06874500399680256,0.009392486011191047,5004,344,47,8.65617060661316
-0.1,800,8000,12.038,0.036655683690280064,0.012355848434925865,4856,178,60,11.282313108444214
-0.05,600,7000,12.038,0.07891332470892626,0.015782664941785252,3865,305,61,8.59266471862793
0.2,1800,20000,12.041,0.0035187176229107614,0.01065389502492425,20462,72,218,46.31511378288269
0.05,500,6000,12.04,0.08625,0.01375,4000,345,55,7.008252143859863
0.1,3000,25000,12.034,0.0009773351328710384,0.010983385302741192,21487,21,236,87.80800604820251
0.2,500,6000,12.036,0.03545684784726281,0.010714981492304695,5133,182,55,6.85319447517395
0.0,1500,16000,12.032,0.016077491511883365,0.017874975034951068,10014,161,179,32.54786038398743
0.05,1200,12000,12.033,0.02587779297765618,0.011855905152758778,8772,227,104,21.11394762992859
-0.2,800,8000,12.036,0.00460552663195835,0.011413696435722867,4994,23,57,11.22055172920227
-0.15,1500,16000,12.036,0.00480225988700565,0.013559322033898305,10620,51,144,32.6288366317749
-0.2,1500,16000,12.038,0.0009260116677470136,0.0136123715158811,10799,10,147,32.49329733848572
-0.1,600,7000,12.041,0.05702647657841141,0.010437881873727087,3928,224,41,8.58800721168518
0.1,1800,20000,12.044,0.008898508898508899,0.012145262145262145,16632,148,202,46.30544662475586
0.05,3000,25000,12.041,0.0009811616954474097,0.012215463108320251,20384,20,249,87.82998299598694
0.2,800,8000,12.045,0.021339739966082533,0.011588468061051441,7076,151,82,11.240543365478516
0.0,300,5000,12.043,0.1311740890688259,0.018218623481781375,2470,324,45,4.965887784957886
0.15,3000,25000,12.045,0.0009009361902150495,0.011320459085745622,25529,23,289,87.75130701065063
-0.15,1200,12000,12.04,0.007285733209696649,0.016293548814412504,7549,55,123,21.126005172729492
0.15,600,7000,12.04,0.0448795702651187,0.011263212614798129,5771,259,65,8.583211660385132
0.15,1200,12000,12.043,0.01580317859387627,0.009517823471311844,11137,176,106,21.113306999206543
0.05,1800,20000,12.044,0.008727226398267295,0.012358262199006242,15698,137,194,46.41807317733765
0.05,1500,16000,12.044,0.015961823268059897,0.012341615928912293,12154,194,150,32.578792095184326
