Ez,tau_ms_fit,tau_ms_se,p0_fit,A_fit,b_fit
-0.2,0.4110279326307142,0.056277274159254674,0.03787157732817868,0.03777162991305341,9.99474151252704e-05
-0.15,0.533900233469436,0.04916490489469598,0.07843018241953062,0.07832379329567489,0.0001063891238557287
-0.1,0.4944571822705422,0.029298523117610747,0.1851469301030117,0.1846724459972904,0.00047448410572128633
-0.05,0.572560764907548,0.03173318832141841,0.21712194871770726,0.21712194871770726,1.1828299208975986e-20
0.0,0.5711622337242894,0.0298621651295245,0.24109417690658308,0.24109417690658308,2.970953276641009e-18
0.05,0.5681237281022337,0.02829141487075853,0.21894643054657703,0.21894643054657703,1.3840329564661769e-21
0.1,0.5962780113318533,0.032614644866238524,0.18528992288291707,0.18528992288291707,2.329127599883142e-25
0.15,0.5691936189767423,0.03511001461379935,0.12578201975272024,0.12553820758627937,0.0002438121664408681
0.2,0.5325430501021939,0.0377429316568931,0.0888102126249612,0.08853753093244168,0.00027268169251951324
0.25,0.497820880765061,0.043964716117904964,0.05776236517781695,0.057584487441220154,0.00017787773659679433
