Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2,0.0,-0.0750819060799999,1000,10000,11.834,0.028346192552834618,0.013586044951358605,5962,169,81,16.582175970077515
-0.2,0.0,-0.0750819060799999,500,6000,11.834,0.07252266333229133,0.018443263519849953,3199,232,59,7.74747896194458
-0.2,0.0,-0.0750819060799999,800,8000,11.838,0.04312960554833117,0.00975292587776333,4614,199,45,11.894375324249268
-0.2,0.0,-0.0750819060799999,1800,20000,11.833,0.005023213334348124,0.014232437780653018,13139,66,187,47.09247589111328
-0.2,0.0,-0.0750819060799999,1200,12000,11.837,0.01897201291711518,0.01372443487621098,7432,141,102,21.76934838294983
-0.2,0.0,-0.0750819060799999,300,5000,11.833,0.10295230885692658,0.014004542013626041,2642,272,37,5.495516538619995
-0.2,0.0,-0.0750819060799999,600,7000,11.837,0.0659108884787767,0.009754811494858951,3793,250,37,9.201801538467407
-0.2,0.0,-0.0750819060799999,1500,16000,11.834,0.0131436978911231,0.0131436978911231,10195,134,134,33.21675705909729
-0.2,0.0,0.025,800,8000,11.834,0.0527689725899683,0.009509602834234571,5363,283,51,11.824819803237915
-0.2,0.0,0.025,1000,10000,11.833,0.039037741284932294,0.010659752232785941,6942,271,74,16.434088945388794
-0.2,0.0,0.025,1800,20000,11.829,0.008253925647564086,0.009730237552006442,14902,123,145,46.98904514312744
-0.2,0.0,0.025,1200,12000,11.831,0.02838926981835679,0.01275111271502466,8313,236,106,21.678094148635864
-0.2,0.0,0.025,1500,16000,11.833,0.016918584678804534,0.00996221229817932,11644,197,116,33.15722894668579
-0.2,0.0,0.025,300,5000,11.838,0.10635451505016723,0.01036789297658863,2990,318,31,5.653914451599121
-0.2,0.0,0.025,500,6000,11.838,0.0797478761304467,0.00959166895039737,3649,291,35,7.629349946975708
-0.2,0.0,0.025,600,7000,11.831,0.07392197125256673,0.01026694045174538,4383,324,45,9.221578598022461
-0.15,0.05,0.0849999999999999,800,8000,11.836,0.03733160201266028,0.013796461613374451,6161,230,85,11.847839832305908
-0.15,0.05,0.0849999999999999,1200,12000,11.834,0.01958560973095557,0.012885269559839192,9701,190,125,21.823899745941162
