run_id,Ex,Ey,Ez,n_wait,tau_ms,tau_se,p0_fit,b_fit,fit_ok,total_loading,total_trapped,rep
1,-0.2,0.0,-0.0750819060799999,8,0.5228724923809915,0.06257540113100522,0.1924345488938301,2.719925313946314e-20,1,50976.0,1463.0,1
2,-0.2,0.0,0.025,8,0.6135756703403971,0.08260745682611623,0.18642955600808572,9.646977912317303e-21,1,58186.0,2043.0,1
3,-0.15,0.05,0.0849999999999999,8,0.5620933179828589,0.07006962204574142,0.16242482579219986,4.1174859510501306e-19,1,66174.0,1783.0,1
4,-0.2834015884999999,0.0,0.025,8,0.4726515001969839,0.05364311176198741,0.18106637776149542,6.986419651602337e-20,1,53739.0,1245.0,1
5,-0.1165984115,0.0,0.025,8,0.5476296445473149,0.07170220799642582,0.15570297698267585,9.601050865048112e-20,1,59791.0,1511.0,1
6,-0.2,0.0,0.025,8,0.6148583604855414,0.08547067680110902,0.18196303145808865,7.711234306235543e-20,1,56527.0,1947.0,2
7,-0.2,0.0,-0.0750819060799999,8,0.5484655532190653,0.07169094871770311,0.18745304257853718,1.43222718115948e-19,1,49217.0,1485.0,2
8,-0.2,-0.0834015885,0.025,8,0.36903286948712005,0.040400629188857964,0.17141890217059333,1.1008700048079093e-18,1,47156.0,681.0,1
9,-0.2,0.08340158845,0.025,8,0.4845543788453284,0.050938370010272814,0.22109725535775387,1.2487965120002214e-21,1,50672.0,1506.0,1
10,-0.2,0.0,0.025,8,0.6467130281440989,0.09776265592971453,0.1770073648431505,2.6665429765831504e-19,1,54875.0,1968.0,3
11,-0.15,-0.05,-0.0349999999999999,8,0.45638557565534094,0.05240346301643731,0.19365387412268853,0.00036377519653805725,1,47387.0,1126.0,1
12,-0.15,0.05,0.0849999999999999,8,0.5532423708200602,0.06860541934381503,0.17536114604568864,2.9767598318714446e-05,1,62669.0,1786.0,2
13,-0.15,0.05,-0.0349999999999999,8,0.5090205041095887,0.06186395077845704,0.20261486915409943,3.5752447474798056e-17,1,47071.0,1384.0,1
14,-0.25,-0.05,0.0849999999999999,8,0.39023150514534677,0.04472335035974494,0.15985739656276413,8.160225137637537e-05,1,47048.0,701.0,1
15,-0.2,0.0,0.025,8,0.632443377614516,0.09103760475020121,0.18718840463981729,2.601206020792108e-17,1,53152.0,1955.0,4
16,-0.15,0.05,-0.0349999999999999,8,0.48976322423477053,0.05393963412647643,0.2208364398873518,3.474419971849526e-18,1,46794.0,1402.0,2
17,-0.2834015884999999,0.0,0.025,8,0.5089378601656136,0.06550383203180164,0.17237664384937415,9.230855456130615e-18,1,49574.0,1235.0,2
18,-0.2,0.0,0.025,8,0.6133736799712237,0.08383778255267572,0.1970591908321144,1.3265506747460555e-20,1,52593.0,1954.0,5
19,-0.25,0.05,0.0849999999999999,8,0.4898171612902485,0.05428755213356073,0.19904437651606946,2.4791926098833349e-26,1,53396.0,1427.0,1
20,-0.2,0.0,0.025,8,0.6493486600117132,0.09769325734189957,0.19052468586846072,1.3928334701839406e-16,1,52382.0,2036.0,6
21,-0.25,0.05,-0.0349999999999999,8,0.4698291266101575,0.05381169335564068,0.23970228097448346,3.598572009652108e-21,1,39405.0,1203.0,1
22,-0.2,0.0,0.025,8,0.6318877080805656,0.08750789903200687,0.20393242422939034,3.395465688575649e-16,1,50948.0,2046.0,7
23,-0.15,-0.05,0.0849999999999999,8,0.5214740658828566,0.07053228086563784,0.15377710394676883,2.5098877949138113e-18,1,52110.0,1196.0,1
24,-0.2,0.0,0.025,8,0.6236219652818032,0.0876912631558347,0.19430089016757132,3.665561117757757e-16,1,51828.0,1947.0,8
25,-0.15,-0.05,-0.0349999999999999,8,0.5214512822175803,0.07247970600926512,0.1685084785532186,1.2471514663842413e-20,1,44864.0,1129.0,2
26,-0.2,0.0,0.025,8,0.6230474481798156,0.08771399328067905,0.19529470899003387,5.268820249884803e-16,1,52099.0,1968.0,9
27,-0.15,-0.05,0.0849999999999999,8,0.5003192963871579,0.061955758078312814,0.17093187807277788,2.382266970349319e-17,1,51737.0,1234.0,2
28,-0.2,0.0,0.025,8,0.6060367702354388,0.08082661061678675,0.21229362696514043,5.575243170892331e-21,1,51919.0,2034.0,10
29,-0.25,-0.05,-0.0349999999999999,8,0.39274590861243996,0.04668544292156942,0.18830090860001392,0.00043520199815824196,1,38755.0,700.0,1
30,-0.2,0.0,0.025,8,0.6407974776895352,0.09727294103355291,0.19582072474321272,0.0013221368935438951,1,50825.0,2028.0,11
31,-0.25,0.05,-0.0349999999999999,8,0.4752693475025972,0.0528555310400425,0.24407892484476973,1.0447554394219954e-19,1,38549.0,1232.0,2
32,-0.2,0.0,0.025,8,0.6599824048995918,0.10089864789264653,0.1977015383103095,4.0351614830970376e-15,1,50183.0,2087.0,12
33,-0.25,-0.05,-0.0349999999999999,8,0.4269098542146368,0.054354458283324025,0.17023546553757826,6.4465460739171414e-24,1,38660.0,714.0,2
34,-0.2,0.0,0.025,8,0.6554167405863189,0.10015689429886825,0.20067146927496632,3.0851506255744903e-18,1,50923.0,2085.0,13
35,-0.25,-0.05,0.0849999999999999,8,0.43861749161104835,0.055677104205887916,0.14640093764203882,5.241819147408334e-20,1,45681.0,764.0,2
36,-0.2,0.0,0.025,8,0.6533589242593671,0.1001241179446399,0.19225624258192295,5.202214022516474e-16,1,50905.0,2001.0,14
37,-0.2,0.0,0.1250819061759999,8,0.5947389159356798,0.08773452435488911,0.14535317561760142,0.0005951002909980473,1,64410.0,1722.0,1
38,-0.2,0.0,0.025,8,0.7062133162462103,0.12331238784018404,0.1786655329012557,3.7096272603455195e-17,1,49946.0,2027.0,15
39,-0.2,-0.0834015885,0.025,8,0.45274228752472,0.06102180904357655,0.1513393437286695,2.8911268222806504e-19,1,42460.0,760.0,2
40,-0.2,0.0,0.025,8,0.6533457119694837,0.0987125959935043,0.20047648415167788,5.630846711250986e-15,1,49486.0,2038.0,16
41,-0.25,0.05,0.0849999999999999,8,0.47708506935505096,0.05023976346345565,0.23209811921593967,0.0012260425497316073,1,49920.0,1549.0,2
42,-0.2,0.0,0.025,8,0.6950613520055663,0.1166810814980447,0.18871217552217218,2.140057578822095e-16,1,48739.0,2054.0,17
43,-0.1165984115,0.0,0.025,8,0.5771850985067777,0.0845795858151892,0.1630677683320228,9.95584867855526e-18,1,51210.0,1458.0,2
44,-0.2,0.0,0.025,8,0.6495901730336562,0.09621822752663252,0.20885648864393255,7.71804168688773e-15,1,47870.0,2041.0,18
45,-0.2,0.0,0.1250819061759999,8,0.6761136899079729,0.11913285463052933,0.13044176368307114,6.5477861396899135e-18,1,61095.0,1711.0,2
46,-0.2,0.08340158845,0.025,8,0.5049093777110066,0.05614874751159161,0.25969971143466863,0.0008085430767813276,1,45075.0,1675.0,2
