group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,candidate_idx,ok,r2,aicc,nfev,hit_max_nfev,ier,is_stage_best,is_segment_selected,init_new_mu,init_mu_norm
0,-0.5,lost,left,3,51,0,0,-inf,inf,,0,,0,0,61.0,0.7961165048543689
0,-0.5,lost,right,4,69,0,1,0.8192880311445386,-1643.8873091908824,27,0,2,1,0,126.5,0.8014705882352942
0,-0.5,lost,right,5,69,0,1,0.8191328091680081,-1636.195700242173,9,0,3,0,0,72.0,0.0
0,-0.5,lost,right,5,69,1,1,0.8192841824935346,-1636.3104077717328,10,0,4,0,0,73.0,0.014705882352941176
0,-0.5,lost,right,5,69,2,1,0.8961004361737672,-1712.1400486501286,35,0,2,0,0,74.0,0.029411764705882353
0,-0.5,lost,right,5,69,3,1,0.8961004360754039,-1712.1400485204288,30,0,1,0,0,75.0,0.04411764705882353
0,-0.5,lost,right,5,69,4,1,0.8961004362386762,-1712.1400487357164,39,0,1,0,0,76.0,0.058823529411764705
0,-0.5,lost,right,5,69,5,1,0.8207526158067276,-1637.428169136902,20,0,2,0,0,77.0,0.07352941176470588
0,-0.5,lost,right,5,69,6,1,0.820752615724167,-1637.4281690738003,24,0,2,0,0,78.0,0.08823529411764706
0,-0.5,lost,right,5,69,7,1,0.8207526159815584,-1637.4281692705263,20,0,1,0,0,79.0,0.10294117647058823
0,-0.5,lost,right,5,69,8,1,0.8207526162718392,-1637.4281694923898,27,0,1,0,0,80.0,0.11764705882352941
0,-0.5,lost,right,5,69,9,1,0.820752615509481,-1637.4281689097143,23,0,1,0,0,81.0,0.1323529411764706
0,-0.5,lost,right,5,69,10,1,0.8961004361292157,-1712.140048591384,26,0,2,0,0,82.0,0.14705882352941177
0,-0.5,lost,right,5,69,11,1,0.8961004361022639,-1712.1400485558459,38,0,2,0,0,83.0,0.16176470588235295
0,-0.5,lost,right,5,69,12,1,0.896100436306512,-1712.1400488251636,40,0,1,1,0,84.0,0.17647058823529413
0,-0.5,lost,right,5,69,13,1,0.8961004361052679,-1712.1400485598067,32,0,2,0,0,85.0,0.19117647058823528
0,-0.5,lost,right,5,69,14,1,0.8961004362476896,-1712.1400487476014,32,0,1,0,0,86.0,0.20588235294117646
0,-0.5,lost,right,5,69,15,1,0.8961004362427696,-1712.140048741114,26,0,1,0,0,87.0,0.22058823529411764
0,-0.5,lost,right,5,69,16,1,0.8961004362342586,-1712.1400487298915,35,0,1,0,0,88.0,0.23529411764705882
0,-0.5,lost,right,5,69,17,1,0.8961004360133048,-1712.140048438546,29,0,1,0,0,89.0,0.25
0,-0.5,lost,right,5,69,18,1,0.8961004361865255,-1712.1400486669515,21,0,1,0,0,90.0,0.2647058823529412
0,-0.5,lost,right,5,69,19,1,0.8961004362053422,-1712.1400486917628,25,0,1,0,0,91.0,0.27941176470588236
0,-0.5,lost,right,5,69,20,1,0.8961004361067864,-1712.1400485618092,17,0,2,0,0,92.0,0.29411764705882354
0,-0.5,lost,right,5,69,21,1,0.8961004361421112,-1712.1400486083876,16,0,1,0,0,93.0,0.3088235294117647
