group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,n_candidates,n_ok,n_hit_max,hit_max_rate_ok,stage_best_r2,coarse_stride2_dr2,coarse_stride3_dr2
0,-0.5,lost,left,3,51,1,0,0,,,,
0,-0.5,lost,right,4,69,1,1,0,0.0,0.8192880311445386,0.0,0.0
0,-0.5,lost,right,5,69,69,69,0,0.0,0.896100436306512,0.0,0.0
0,-0.5,lost,right,6,69,69,69,0,0.0,0.9488952572163888,0.0,0.0
0,-0.5,lost,right,7,69,69,69,0,0.0,0.9669154079844875,0.0,0.0
0,-0.5,lost,right,8,69,69,69,0,0.0,0.9724965051631276,0.0,3.100264489575011e-11
0,-0.5,lost,right,9,69,69,69,0,0.0,0.976279919404425,0.0,1.2675126503935985e-09
0,-0.5,trapped,left,4,51,1,1,0,0.0,0.7445679001572509,0.0,0.0
0,-0.5,trapped,left,5,51,51,51,0,0.0,0.9694947090995983,0.0,3.2839286845387505e-12
0,-0.5,trapped,left,6,51,51,51,0,0.0,0.9846969327940256,0.0,0.013078214618358897
0,-0.5,trapped,left,7,51,51,51,0,0.0,0.9869969925081493,5.8514304512868875e-12,0.0
0,-0.5,trapped,left,8,51,51,51,0,0.0,0.9881213625072073,0.0,9.479683704682884e-11
0,-0.5,trapped,right,5,69,1,1,0,0.0,0.7226946945352045,0.0,0.0
0,-0.5,trapped,right,6,69,69,69,0,0.0,0.8462638788688548,5.801555902351652e-10,0.0
0,-0.5,trapped,right,7,69,69,69,0,0.0,0.9247643372766141,0.0,0.0
0,-0.5,trapped,right,8,69,69,69,0,0.0,0.9565028703745654,0.0,3.2211622258415673e-10
0,-0.5,trapped,right,9,69,69,69,0,0.0,0.9597757631728566,0.0,7.835254667298841e-11
1,0.0,lost,left,3,54,1,1,0,0.0,0.9839423209090752,0.0,0.0
1,0.0,lost,left,4,54,54,54,0,0.0,0.9947036424436738,0.0,1.2989609388114332e-14
1,0.0,lost,left,5,54,54,54,0,0.0,0.9957080635342306,0.0002897197353649572,0.0
1,0.0,lost,right,3,66,1,1,0,0.0,0.8762256025383556,0.0,0.0
1,0.0,lost,right,4,66,66,66,0,0.0,0.9297249925185973,2.7122748491592574e-11,0.0
1,0.0,lost,right,5,66,66,66,0,0.0,0.9461509671599957,0.0,3.9783953909022785e-11
1,0.0,lost,right,6,66,66,66,0,0.0,0.9583648062430632,1.6747991882226643e-10,0.0
1,0.0,lost,right,7,66,66,66,0,0.0,0.9688563702152266,0.0,0.0
1,0.0,lost,right,8,66,66,66,0,0.0,0.9769537652757216,1.2916889780001384e-10,1.9006141105393226e-10
1,0.0,lost,right,9,66,66,66,0,0.0,0.9817290982634321,0.0,6.753710639628707e-07
1,0.0,trapped,left,3,54,1,1,0,0.0,0.9821293387702208,0.0,0.0
1,0.0,trapped,left,4,54,54,54,0,0.0,0.9923306672154347,1.0469403122215226e-13,0.0
1,0.0,trapped,left,5,54,54,54,0,0.0,0.9942363730732241,0.0,0.0
1,0.0,trapped,left,6,54,54,54,0,0.0,0.9961343937694574,0.0014291388769551716,0.0
1,0.0,trapped,right,4,66,1,1,0,0.0,0.8565142674256825,0.0,0.0
1,0.0,trapped,right,5,66,66,66,0,0.0,0.9313459917515127,0.0,9.979794768355532e-13
1,0.0,trapped,right,6,66,66,66,0,0.0,0.9464815723736458,0.0,0.0
1,0.0,trapped,right,7,66,66,66,0,0.0,0.9570486095847973,0.0,0.0
1,0.0,trapped,right,8,66,66,66,0,0.0,0.966688839925187,0.0041885949262474576,0.004188595522466088
1,0.0,trapped,right,9,66,66,66,0,0.0,0.9711473321735845,0.0,0.0003444344782208564
2,0.2,lost,left,2,53,1,1,0,0.0,0.9294861284757439,0.0,0.0
2,0.2,lost,left,3,53,53,53,0,0.0,0.9815454625993221,0.0,0.0
2,0.2,lost,left,4,53,53,53,0,0.0,0.994024722762959,0.0,5.652145418366672e-13
