timestamp,RF_amplitude,method,n_sigma,split_x,left_points,right_points,peaks_total,peaks_left,peaks_right,combined_baseline_points,error
20260301_114719,-0.5,iterative_2.0,1.5,72.0,105,136,11,4,7,137,
20260301_201959,-0.5,iterative_2.0,1.5,72.0,105,136,10,5,5,144,
20260304_122046,-0.5,iterative_2.0,1.5,72.5,106,135,10,5,5,133,
20260305_181001,-0.5,iterative_2.0,1.5,73.0,107,134,10,4,6,141,
20260305_211334,-0.5,iterative_2.0,1.5,72.0,105,136,10,4,6,142,
20260301_084142,0.0,iterative_2.0,1.5,74.0,109,132,9,4,5,144,
20260301_211855,0.0,iterative_2.0,1.5,74.0,109,132,9,5,4,135,
20260302_142456,0.0,iterative_2.0,1.5,74.0,109,132,10,5,5,142,
20260305_032220,0.0,iterative_2.0,1.5,74.0,109,132,8,3,5,125,
20260306_222515,0.0,iterative_2.0,1.5,88.5,138,103,9,4,4,169,
20260228_130122,0.2,iterative_2.0,1.5,74.5,110,131,13,6,7,158,
20260301_134556,0.2,iterative_2.0,1.5,74.0,109,132,11,4,7,136,
20260302_191732,0.2,iterative_2.0,1.5,76.0,113,128,11,5,6,159,
20260302_200952,0.2,iterative_2.0,1.5,75.5,112,129,12,5,7,150,
20260304_161804,0.2,iterative_2.0,1.5,87.0,135,106,9,4,5,153,
20260304_182221,0.2,iterative_2.0,1.5,77.5,116,125,11,5,6,150,
20260228_120620,0.4,iterative_2.0,1.5,80.0,121,120,11,6,5,175,
20260301_034144,0.4,iterative_2.0,1.5,80.0,121,120,13,4,9,156,
20260301_181819,0.4,iterative_2.0,1.5,75.0,111,130,9,3,6,120,
20260305_125827,0.4,iterative_2.0,1.5,89.5,140,101,9,4,4,151,
20260302_132016,0.6,iterative_2.0,1.5,80.0,121,120,11,3,8,139,
20260302_161406,0.6,iterative_2.0,1.5,87.5,136,105,10,5,5,151,
20260303_173730,0.6,iterative_2.0,1.5,80.0,121,120,9,4,5,138,
20260304_172146,0.6,iterative_2.0,1.5,88.5,138,103,10,5,5,148,
20260305_041641,0.6,iterative_2.0,1.5,80.0,121,120,10,4,6,139,
20260305_083539,0.6,iterative_2.0,1.5,80.0,121,120,11,4,7,143,
20260301_003936,0.8,iterative_2.0,1.5,80.0,121,120,8,3,5,131,
20260301_073606,0.8,iterative_2.0,1.5,87.0,135,106,9,4,5,153,
20260301_104215,0.8,iterative_2.0,1.5,82.0,125,116,8,4,4,155,
20260303_123925,0.8,iterative_2.0,1.5,80.0,121,120,9,4,5,134,
20260303_134853,0.8,iterative_2.0,1.5,80.5,122,119,12,6,6,129,
20260301_191810,1.0,iterative_2.0,1.5,80.0,121,120,9,4,5,144,
20260304_232147,1.0,iterative_2.0,1.5,87.0,135,106,15,7,7,136,
20260305_012201,1.0,iterative_2.0,1.5,80.0,121,120,11,7,4,138,
20260305_073245,1.0,iterative_2.0,1.5,80.0,121,120,10,7,3,121,
20260306_124417,1.0,iterative_2.0,1.5,80.0,121,120,22,11,11,137,
20260303_060535,1.2,iterative_2.0,1.5,80.0,121,120,13,9,4,131,
20260304_131534,1.2,iterative_2.0,1.5,80.0,121,120,8,5,3,121,
20260304_221844,1.2,iterative_2.0,1.5,66.5,94,147,12,6,6,154,
20260305_022046,1.2,iterative_2.0,1.5,80.0,121,120,10,6,4,125,
20260305_104210,1.2,iterative_2.0,1.5,80.0,121,120,12,8,4,120,
20260301_171536,1.4,iterative_2.0,1.5,80.0,121,120,13,7,6,147,
20260301_231157,1.4,iterative_2.0,1.5,91.0,143,98,9,4,4,158,
20260306_072251,1.4,iterative_2.0,1.5,93.5,148,93,14,6,7,124,
20260306_144615,1.4,iterative_2.0,1.5,88.5,138,103,25,12,12,168,
20260307_022952,1.4,iterative_2.0,1.5,94.5,150,91,11,5,5,176,
20260301_053620,1.6,iterative_2.0,1.5,81.0,123,118,9,5,4,173,
20260305_150327,1.6,iterative_2.0,1.5,81.0,123,118,8,4,4,178,
20260305_200855,1.6,iterative_2.0,1.5,89.5,140,101,9,4,4,119,
20260305_231551,1.6,iterative_2.0,1.5,86.5,134,107,24,12,12,164,
20260306_093543,1.6,iterative_2.0,1.5,80.5,122,119,17,10,7,176,
20260228_135624,1.8,iterative_2.0,1.5,93.5,148,93,7,3,3,165,
20260301_043702,1.8,iterative_2.0,1.5,81.5,124,117,7,4,3,167,
20260305_190347,1.8,iterative_2.0,1.5,86.5,134,107,11,5,5,177,
20260306_104227,1.8,iterative_2.0,1.5,81.5,124,117,13,9,4,166,
20260306_201839,1.8,iterative_2.0,1.5,81.0,123,118,10,5,5,165,
20260228_145604,2.0,iterative_2.0,1.5,70.0,101,140,10,6,4,159,
20260304_151509,2.0,iterative_2.0,1.5,83.0,127,114,10,6,4,153,
20260305_051644,2.0,iterative_2.0,1.5,89.0,139,102,9,4,4,178,
