timestamp,RF_amplitude,method,n_sigma,split_x,left_points,right_points,peaks_total,peaks_left,peaks_right,combined_baseline_points,error
20260301_114719,-0.5,percentile_direct,2.0,72.0,105,136,11,4,7,136,
20260301_201959,-0.5,percentile_direct,2.0,72.0,105,136,10,5,5,136,
20260304_122046,-0.5,percentile_direct,2.0,72.0,105,136,10,5,5,130,
20260305_181001,-0.5,percentile_direct,2.0,73.0,107,134,10,4,6,140,
20260305_211334,-0.5,percentile_direct,2.0,72.0,105,136,10,4,6,136,
20260301_084142,0.0,percentile_direct,2.0,74.0,109,132,9,4,5,137,
20260301_211855,0.0,percentile_direct,2.0,74.0,109,132,9,5,4,131,
20260302_142456,0.0,percentile_direct,2.0,74.0,109,132,10,5,5,128,
20260305_032220,0.0,percentile_direct,2.0,75.5,112,129,8,3,5,133,
20260306_222515,0.0,percentile_direct,2.0,80.0,121,120,9,4,5,150,
20260228_130122,0.2,percentile_direct,2.0,74.5,110,131,13,6,7,141,
20260301_134556,0.2,percentile_direct,2.0,74.0,109,132,11,4,7,130,
20260302_191732,0.2,percentile_direct,2.0,74.5,110,131,11,5,6,132,
20260302_200952,0.2,percentile_direct,2.0,75.5,112,129,12,5,7,129,
20260304_161804,0.2,percentile_direct,2.0,87.0,135,106,9,4,5,150,
20260304_182221,0.2,percentile_direct,2.0,74.0,109,132,11,4,7,127,
20260228_120620,0.4,percentile_direct,2.0,78.0,117,124,11,6,5,150,
20260301_034144,0.4,percentile_direct,2.0,76.0,113,128,13,4,9,140,
20260301_181819,0.4,percentile_direct,2.0,75.0,111,130,9,3,6,119,
20260305_125827,0.4,percentile_direct,2.0,89.5,140,101,9,4,4,138,
20260302_132016,0.6,percentile_direct,2.0,80.0,121,120,11,3,8,139,
20260302_161406,0.6,percentile_direct,2.0,87.0,135,106,10,4,5,141,
20260303_173730,0.6,percentile_direct,2.0,77.5,116,125,9,4,5,134,
20260304_172146,0.6,percentile_direct,2.0,88.5,138,103,10,5,5,148,
20260305_041641,0.6,percentile_direct,2.0,80.0,121,120,10,4,6,135,
20260305_083539,0.6,percentile_direct,2.0,80.0,121,120,11,4,7,132,
20260301_003936,0.8,percentile_direct,2.0,80.0,121,120,8,3,5,140,
20260301_073606,0.8,percentile_direct,2.0,80.0,121,120,9,3,6,140,
20260301_104215,0.8,percentile_direct,2.0,91.0,143,98,8,4,4,146,
20260303_123925,0.8,percentile_direct,2.0,80.0,121,120,9,4,5,132,
20260303_134853,0.8,percentile_direct,2.0,80.5,122,119,12,6,6,129,
20260301_191810,1.0,percentile_direct,2.0,80.0,121,120,9,4,5,136,
20260304_232147,1.0,percentile_direct,2.0,87.0,135,106,15,7,7,136,
20260305_012201,1.0,percentile_direct,2.0,80.0,121,120,11,7,4,130,
20260305_073245,1.0,percentile_direct,2.0,80.0,121,120,10,7,3,122,
20260306_124417,1.0,percentile_direct,2.0,80.0,121,120,22,11,11,129,
20260303_060535,1.2,percentile_direct,2.0,80.0,121,120,13,9,4,125,
20260304_131534,1.2,percentile_direct,2.0,80.0,121,120,8,5,3,123,
20260304_221844,1.2,percentile_direct,2.0,66.5,94,147,12,6,6,135,
20260305_022046,1.2,percentile_direct,2.0,80.0,121,120,10,6,4,128,
20260305_104210,1.2,percentile_direct,2.0,80.0,121,120,12,8,4,122,
20260301_171536,1.4,percentile_direct,2.0,80.0,121,120,13,7,6,135,
20260301_231157,1.4,percentile_direct,2.0,91.0,143,98,9,4,4,138,
20260306_072251,1.4,percentile_direct,2.0,93.5,148,93,14,6,7,124,
20260306_144615,1.4,percentile_direct,2.0,88.5,138,103,25,12,12,135,
20260307_022952,1.4,percentile_direct,2.0,80.0,121,120,11,5,6,126,
20260301_053620,1.6,percentile_direct,2.0,80.0,121,120,9,5,4,142,
20260305_150327,1.6,percentile_direct,2.0,80.0,121,120,8,4,4,143,
20260305_200855,1.6,percentile_direct,2.0,89.5,140,101,9,4,4,120,
20260305_231551,1.6,percentile_direct,2.0,86.5,134,107,24,12,12,119,
20260306_093543,1.6,percentile_direct,2.0,79.5,120,121,17,9,7,123,
20260228_135624,1.8,percentile_direct,2.0,93.5,148,93,7,3,3,145,
20260301_043702,1.8,percentile_direct,2.0,80.5,122,119,7,4,3,144,
20260305_190347,1.8,percentile_direct,2.0,86.5,134,107,11,5,5,146,
20260306_104227,1.8,percentile_direct,2.0,81.0,123,118,13,9,4,137,
20260306_201839,1.8,percentile_direct,2.0,80.0,121,120,10,5,5,127,
20260228_145604,2.0,percentile_direct,2.0,70.0,101,140,10,6,4,143,
20260304_151509,2.0,percentile_direct,2.0,81.5,124,117,10,6,4,114,
20260305_051644,2.0,percentile_direct,2.0,80.5,122,119,9,4,5,142,
20260305_160456,2.0,percentile_direct,2.0,87.5,136,105,9,4,5,141,
20260306_160413,2.0,percentile_direct,2.0,80.0,121,120,14,7,7,139,
20260301_093910,2.2,percentile_direct,2.0,70.0,101,140,10,5,5,152,
20260302_230304,2.2,percentile_direct,2.0,82.0,125,116,6,3,3,149,
20260305_062330,2.2,percentile_direct,2.0,81.5,124,117,11,6,5,145,
20260306_082435,2.2,percentile_direct,2.0,88.0,137,104,12,6,6,141,
20260306_181251,2.2,percentile_direct,2.0,85.0,131,110,7,3,3,141,
20260228_234147,2.5,percentile_direct,2.0,83.5,128,113,13,7,6,151,
20260301_124659,2.5,percentile_direct,2.0,83.5,128,113,8,5,3,157,
20260302_220140,2.5,percentile_direct,2.0,87.0,135,106,9,4,4,148,
20260303_183739,2.5,percentile_direct,2.0,82.5,126,115,8,3,5,136,
20260306_191701,2.5,percentile_direct,2.0,82.0,125,116,8,4,4,139,
20260228_194454,3.0,percentile_direct,2.0,88.0,137,104,9,5,4,161,
20260302_210248,3.0,percentile_direct,2.0,86.0,133,108,8,4,4,146,
20260306_062252,3.0,percentile_direct,2.0,86.0,133,108,13,7,6,141,
20260306_114417,3.0,percentile_direct,2.0,87.0,135,106,17,12,5,141,
20260307_033603,3.0,percentile_direct,2.0,84.0,129,112,9,4,5,131,
20260228_224123,3.6,percentile_direct,2.0,88.0,137,104,10,6,4,143,
20260305_002326,3.6,percentile_direct,2.0,86.5,134,107,16,10,6,130,
20260305_140338,3.6,percentile_direct,2.0,87.0,135,106,9,5,4,136,
20260305_171134,3.6,percentile_direct,2.0,96.0,153,88,11,5,5,149,
20260306_170850,3.6,percentile_direct,2.0,86.0,133,108,12,6,6,129,
20260301_024050,4.3,percentile_direct,2.0,92.0,145,96,11,6,5,143,
20260304_192109,4.3,percentile_direct,2.0,90.5,142,99,14,9,5,145,
20260306_212322,4.3,percentile_direct,2.0,90.5,142,99,13,7,6,134,
20260306_232551,4.3,percentile_direct,2.0,38.0,37,204,14,4,10,138,
20260228_214115,5.0,percentile_direct,2.0,80.5,122,119,11,6,5,163,
20260301_063442,5.0,percentile_direct,2.0,94.0,149,92,9,7,2,135,
20260301_221132,5.0,percentile_direct,2.0,93.5,148,93,7,5,1,140,
20260302_122008,5.0,percentile_direct,2.0,94.5,150,91,7,4,3,156,
20260302_172124,5.0,percentile_direct,2.0,94.5,150,91,9,6,3,154,
20260304_202210,5.0,percentile_direct,2.0,94.0,149,92,12,8,4,153,
20260228_204102,6.0,percentile_direct,2.0,95.5,152,89,11,6,5,163,
20260305_094000,6.0,percentile_direct,2.0,96.0,153,88,11,8,3,145,
20260307_002532,6.0,percentile_direct,2.0,59.5,80,161,12,5,7,155,
20260307_012920,6.0,percentile_direct,2.0,98.0,157,84,11,8,3,163,
20260302_001754,8.0,percentile_direct,2.0,61.0,83,158,16,6,10,148,
20260302_151609,8.0,percentile_direct,2.0,60.5,82,159,13,7,6,141,
20260302_182031,8.0,percentile_direct,2.0,97.5,156,85,12,7,5,137,
20260304_141615,8.0,percentile_direct,2.0,61.0,83,158,15,6,9,147,
20260304_211839,8.0,percentile_direct,2.0,98.5,158,83,14,11,3,139,
