Scan Number,RF Power (dBm),Radial Frequency (MHz),Uncertainty (MHz),RF Power (mW)
173256,-2.07,83.0,2.0,0.6208690342300636
172639,-1.74,89.0,4.0,0.6698846094165264
171726,-1.39,92.0,4.0,0.7261059574351547
170814,-1.05,96.0,6.0,0.7852356346100717
170017,-0.78,106.0,6.0,0.835603018231248
161241,-0.47,119.0,0.5,0.8974287945007484
160235,-0.25,123.0,0.5,0.9440608762859234
155326,-0.05,125.0,2.0,0.9885530946569389
154057,0.22,127.5,1.0,1.0519618738232228
152945,0.44,129.5,2.0,1.1066237839776663
174758,0.64,131.0,0.5,1.158777356155126
180604,0.83,133.5,1.0,1.2105981335504823
181527,1.04,134.0,2.0,1.2705741052085417
182324,1.24,135.0,0.5,1.330454417978091
183132,1.46,139.5,1.0,1.399587322572618
183945,1.65,141.0,1.0,1.462177174456718
