"Freq [GHz]","dB(St(feedline_T1,feedline_T1)) []"
1.2,-11.6872204687283
1.202,-11.722411301451
1.204,-11.7579414114364
1.206,-11.793814180473
1.208,-11.8300330530871
1.21,-11.8666015379474
1.212,-11.9035232093118
1.214,-11.9408017085175
1.216,-11.9784407455157
1.218,-12.0164441004529
1.22,-12.0548156253008
1.222,-12.0935592455355
1.224,-12.1326789618697
1.226,-12.1721788520375
1.228,-12.2120630726364
1.23,-12.2523358610264
1.232,-12.29300153729
1.234,-12.3340645062541
1.236,-12.3755292595783
1.238,-12.4174003779089
1.24,-12.4596825331049
1.242,-12.5023804905358
1.244,-12.5454991114558
1.246,-12.5890433554568
1.248,-12.6330182830037
1.25,-12.6774290580546
1.252,-12.7222809507702
1.254,-12.7675793403161
1.256,-12.8133297177606
1.258,-12.8595376890733
1.26,-12.9062089782282
1.262,-12.9533494304155
1.264,-13.0009650153671
1.266,-13.0490618308001
1.268,-13.0976461059841
1.27,-13.1467242054365
1.272,-13.1963026327533
1.274,-13.2463880345786
1.276,-13.2969872047215
1.278,-13.3481070884258
1.28,-13.3997547867982
1.282,-13.4519375614052
1.284,-13.504662839043
1.286,-13.55793821669
1.288,-13.6117714666509
1.29,-13.6661705418995
1.292,-13.7211435816308
1.294,-13.7766989170324
1.296,-13.8328450772841
1.298,-13.8895907957984
1.3,-13.9469450167128
1.302,-14.0049169016454
1.304,-14.0635158367279
1.306,-14.1227514399295
1.308,-14.1826335686846
1.31,-14.2431723278426
1.312,-14.3043780779525
1.314,-14.3662614439024
1.316,-14.4288333239308
1.318,-14.4921048990285
1.32,-14.556087642753
1.322,-14.6207933314761
1.324,-14.6862340550876
1.326,-14.7524222281812
1.328,-14.8193706017462
1.33,-14.8870922753954
1.332,-14.955600710157
1.334,-15.0249097418617
1.336,-15.0950335951608
1.338,-15.1659868982079
1.34,-15.2377846980448
1.342,-15.3104424767311
1.344,-15.3839761682611
1.346,-15.4584021763144
1.348,-15.5337373928904
1.35,-15.6099992178786
1.352,-15.6872055796234
1.354,-15.7653749565419
1.356,-15.8445263998625
1.358,-15.9246795575529
1.36,-16.0058546995128
1.362,-16.0880727441132
1.364,-16.1713552861677
1.366,-16.2557246264307
1.368,-16.3412038027224
1.37,-16.4278166227899
1.372,-16.5155876990197
1.374,-16.6045424851311
1.376,-16.6947073149837
1.378,-16.7861094436485
1.38,-16.8787770909021
1.382,-16.9727394873164
1.384,-17.0680269231319
1.386,-17.1646708001177
1.388,-17.2627036866395
1.39,-17.3621593761759
1.392,-17.4630729495435
1.394,-17.5654808411176
1.396,-17.6694209093565
1.398,-17.7749325119713
1.4,-17.8820565861087
1.402,-17.9908357339544
1.404,-18.1013143142
1.406,-18.2135385398602
1.408,-18.327556582975
1.41,-18.4434186867833
1.412,-18.5611772860164
1.414,-18.680887136021
1.416,-18.8026054515004
1.418,-18.9263920557403
1.42,-19.0523095412818
1.422,-19.1804234431054
1.424,-19.3108024255086
1.426,-19.4435184839898
1.428,-19.5786471636002
1.43,-19.7162677953946
1.432,-19.8564637528001
1.434,-19.9993227299389
1.436,-20.1449370441875
1.438,-20.2934039655315
1.44,-20.4448260755988
1.442,-20.5993116596139
1.444,-20.7569751349399
1.446,-20.9179375203508
1.448,-21.0823269507349
1.45,-21.2502792425657
1.452,-21.421938516219
1.454,-21.5974578820705
1.456,-21.777000198307
1.458,-21.960738909546
1.46,-22.1488589767189
1.462,-22.3415579102645
1.464,-22.5390469205519
1.466,-22.7415522016621
1.468,-22.9493163672629
1.47,-23.1626000604091
1.472,-23.38168376278
1.474,-23.6068698332588
1.476,-23.8384848110132
1.478,-24.0768820245483
1.48,-24.3224445558056
1.482,-24.575588617562
1.484,-24.8367674135129
1.486,-25.106475563941
1.488,-25.385254196352
1.49,-25.6736968205665
1.492,-25.9724561323657
1.494,-26.2822519199067
1.496,-26.6038802839965
1.498,-26.938224428356
1.5,-27.286267330814
1.502,-27.64910667249
1.504,-28.0279724806753
1.506,-28.4242480323381
1.508,-28.8394946662865
1.51,-29.2754812544245
1.512,-29.7342191654218
1.514,-30.2180035719998
1.516,-30.7294618109036
1.518,-31.2716090080738
1.52,-31.8479099353873
1.522,-32.4623432649445
1.524,-33.1194583822236
1.526,-33.8244022939989
1.528,-34.5828677783532
1.53,-35.4008587608844
1.532,-36.2840536288648
1.534,-37.2363087732759
1.536,-38.2563703609341
1.538,-39.3310239701845
1.54,-40.4219407644908
1.542,-41.4446667808743
1.544,-42.2497453328862
1.546,-42.6458413653734
1.548,-42.5059069678711
1.55,-41.87456935898
1.552,-40.9274660662081
1.554,-39.8435371792476
1.556,-38.7396497131596
1.558,-37.6748977602283
1.56,-36.6732746811446
